adsorbate,surface,reaction energy (eV),site,S. designation,ads_site,ads_indices,ads+neighbors_site,ads+neighbors_indices,Coordination_Number,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy
H,Ag12,0.844867346,top|A,A1,['Ag'],[9],"['Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag']","[5, 6, 8, 9, 10, 11, 12]",1,408.53,10.27,1.93,7.576234,1.302,266.3
H,Ag12,0.462215151,bridge|A_A|A,A1,"['Ag', 'Ag']","[11, 12]","['Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,408.53,10.27,1.93,7.576234,1.302,266.3
H,Ag12,0.355347475,hollow|A_A_A|HCP,A1,"['Ag', 'Ag', 'Ag']","[10, 11, 12]","['Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.53,10.27,1.93,7.576234,1.302,266.3
H,Ag12,0.338155323,hollow|A_A_A|FCC,A1,"['Ag', 'Ag', 'Ag']","[9, 10, 11]","['Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.53,10.27,1.93,7.576234,1.302,266.3
H,Ag6Au6,0.970614824,top|A,L1_o,['Ag'],[9],"['Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[6, 7, 8, 9, 10, 11, 12]",1,408.175,10.24,1.93,7.576234,1.302,266.3
H,Ag6Au6,0.508873015,top|B,L1_o,['Au'],[11],"['Ag', 'Ag', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 8, 9, 10, 11, 12]",1,408.175,10.24,2.54,9.225554,2.30863,342.5
H,Ag6Au6,0.319611853,bridge|A_A|B,L1_o,"['Ag', 'Ag']","[9, 10]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",2,408.175,10.24,1.93,7.576234,1.302,266.3
H,Ag6Au6,0.319847232,bridge|B_B|A,L1_o,"['Au', 'Au']","[11, 12]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",2,408.175,10.24,2.54,9.225554,2.30863,342.5
H,Ag6Au6,0.397102664,hollow|A_A_B|HCP,L1_o,"['Ag', 'Ag', 'Au']","[9, 10, 11]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.175,10.24,2.115027953,8.126007333,1.637543333,291.7
H,Ag6Au6,0.347848562,hollow|A_A_B|FCC,L1_o,"['Ag', 'Ag', 'Au']","[9, 10, 12]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.175,10.24,2.115027953,8.126007333,1.637543333,291.7
H,Ag6Au6,0.321077867,hollow|A_B_B|HCP,L1_o,"['Ag', 'Au', 'Au']","[10, 11, 12]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.175,10.24,2.317794426,8.675780667,1.973086667,317.1
H,Ag6Au6,0.319901655,hollow|A_B_B|FCC,L1_o,"['Ag', 'Au', 'Au']","[9, 11, 12]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.175,10.24,2.317794426,8.675780667,1.973086667,317.1
H,Ag6Cd6,0.879984725,top|A,L1_o,['Ag'],[9],"['Ag', 'Cd', 'Cd', 'Ag', 'Ag', 'Cd', 'Cd']","[6, 7, 8, 9, 10, 11, 12]",1,353.235,11.635,1.93,7.576234,1.302,266.3
H,Ag6Cd6,0.971460554,top|B,L1_o,['Cd'],[11],"['Ag', 'Ag', 'Cd', 'Ag', 'Ag', 'Cd', 'Cd']","[5, 6, 8, 9, 10, 11, 12]",1,353.235,11.635,1.69,8.99382,0,106.3
H,Ag6Cd6,0.57755999,bridge|A_A|B,L1_o,"['Ag', 'Ag']","[9, 10]","['Ag', 'Ag', 'Cd', 'Cd', 'Ag', 'Ag', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",2,353.235,11.635,1.93,7.576234,1.302,266.3
H,Ag6Cd6,0.637607623,bridge|A_B|A,L1_o,"['Ag', 'Cd']","[10, 12]","['Ag', 'Ag', 'Cd', 'Cd', 'Ag', 'Ag', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",2,353.235,11.635,1.806017719,8.285027,0.651,186.3
H,Ag6Cd6,0.631048183,bridge|A_B|B,L1_o,"['Ag', 'Cd']","[9, 12]","['Ag', 'Ag', 'Cd', 'Cd', 'Ag', 'Ag', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",2,353.235,11.635,1.806017719,8.285027,0.651,186.3
H,Ag6Cd6,0.517986107,hollow|A_A_B|HCP,L1_o,"['Ag', 'Ag', 'Cd']","[9, 10, 11]","['Ag', 'Ag', 'Cd', 'Cd', 'Ag', 'Ag', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",3,353.235,11.635,1.846433939,8.048762667,0.868,212.9666667
H,Ag6Cd6,0.532293989,hollow|A_A_B|FCC,L1_o,"['Ag', 'Ag', 'Cd']","[9, 10, 12]","['Ag', 'Ag', 'Cd', 'Cd', 'Ag', 'Ag', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",3,353.235,11.635,1.846433939,8.048762667,0.868,212.9666667
H,Ag6Cd6,0.611268228,hollow|A_B_B|HCP,L1_o,"['Ag', 'Cd', 'Cd']","[10, 11, 12]","['Ag', 'Ag', 'Cd', 'Cd', 'Ag', 'Ag', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",3,353.235,11.635,1.766486161,8.521291333,0.434,159.6333333
H,Ag6Cd6,0.622470474,hollow|A_B_B|FCC,L1_o,"['Ag', 'Cd', 'Cd']","[9, 11, 12]","['Ag', 'Ag', 'Cd', 'Cd', 'Ag', 'Ag', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",3,353.235,11.635,1.766486161,8.521291333,0.434,159.6333333
H,Ag6Co6,0.790869756,top|A,L1_o,['Ag'],[12],"['Co', 'Ag', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[6, 7, 8, 9, 10, 11, 12]",1,329.62,8.47,1.93,7.576234,1.302,266.3
H,Ag6Co6,0.502743378,bridge|A_A|B,L1_o,"['Ag', 'Ag']","[11, 12]","['Co', 'Co', 'Ag', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,329.62,8.47,1.93,7.576234,1.302,266.3
