adsorbate,surface,reaction energy (eV),site,S. designation,ads_site,ads_indices,ads+neighbors_site,ads+neighbors_indices,Coordination_Number,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy,Valence Electrons,Beta,d-Band_Center,d-Band_Width,d-Band_Filling,DOS at Fermi Energy,Work Function
C,Ag12,6.984898424,top|A,A1,['Ag'],[9],"['Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag']","[5, 6, 8, 9, 10, 11, 12]",1,408.53,10.27,1.93,7.576234,1.302,266.3,11,0.5,-4.003562342,1.062093399,0.987269544,0.001824,4.681726044
C,Ag12,5.667144574,hollow|A_A_A|HCP,A1,"['Ag', 'Ag', 'Ag']","[10, 11, 12]","['Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.53,10.27,1.93,7.576234,1.302,266.3,11,0.5,-4.003571624,1.061867956,0.98727677,0.001824,4.681726044
C,Ag12,5.608978745,hollow|A_A_A|FCC,A1,"['Ag', 'Ag', 'Ag']","[9, 10, 11]","['Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.53,10.27,1.93,7.576234,1.302,266.3,11,0.5,-4.003607572,1.061738624,0.987279861,0.001824,4.681726044
C,Au12,6.525164134,top|A,A1,['Au'],[9],"['Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au']","[5, 6, 8, 9, 10, 11, 12]",1,407.82,10.21,2.54,9.225554,2.30863,342.5,11,0.5,-3.239426153,1.406590579,0.974485182,1.182,5.426721805
C,Au12,4.896599954,hollow|A_A_A|HCP,A1,"['Au', 'Au', 'Au']","[10, 11, 12]","['Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,407.82,10.21,2.54,9.225554,2.30863,342.5,11,0.5,-3.239449459,1.406481978,0.974489352,1.182,5.426721805
C,Au12,4.7414235,hollow|A_A_A|FCC,A1,"['Au', 'Au', 'Au']","[9, 10, 11]","['Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,407.82,10.21,2.54,9.225554,2.30863,342.5,11,0.5,-3.239430288,1.406537468,0.97448698,1.182,5.426721805
C,Cd12,5.363709208,hollow|A_A_A|HCP,A1,"['Cd', 'Cd', 'Cd']","[10, 11, 12]","['Cd', 'Cd', 'Cd', 'Cd', 'Cd', 'Cd', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",3,297.94,13.0,1.69,8.99382,0.0,106.3,12,1.0,-8.882171164,1.002389758,0.997127358,5.874,4.170427895
C,Cd12,5.458832723,hollow|A_A_A|FCC,A1,"['Cd', 'Cd', 'Cd']","[9, 10, 11]","['Cd', 'Cd', 'Cd', 'Cd', 'Cd', 'Cd', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",3,297.94,13.0,1.69,8.99382,0.0,106.3,12,1.0,-8.882184464,1.002376305,0.99712752,5.874,4.170427895
C,Co12,3.999846213,top|A,A1,['Co'],[9],"['Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co']","[5, 6, 8, 9, 10, 11, 12]",1,250.71,6.67,1.88,7.88101,0.662,391.2,9,1.0,-2.618594828,2.465651148,0.978259605,12.023,5.169206329
C,Co12,2.106999494,hollow|A_A_A|HCP,A1,"['Co', 'Co', 'Co']","[9, 11, 12]","['Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co']","[5, 6, 7, 8, 9, 10, 11, 12]",3,250.71,6.67,1.88,7.88101,0.662,391.2,9,1.0,-2.618938438,2.467604119,0.978240288,12.023,5.169206329
C,Co12,2.292815966,hollow|A_A_A|FCC,A1,"['Co', 'Co', 'Co']","[9, 10, 11]","['Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co']","[5, 6, 7, 8, 9, 10, 11, 12]",3,250.71,6.67,1.88,7.88101,0.662,391.2,9,1.0,-2.618569472,2.465398153,0.978266842,12.023,5.169206329
C,Cr12,3.640320566,top|A,A1,['Cr'],[9],"['Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr']","[5, 6, 8, 9, 10, 11, 12]",1,291.0,7.23,1.66,6.76651,0.666,359.5,6,1.0,-0.747906332,3.530927489,0.653164561,25.51,5.105509079
C,Cr12,1.070740336,hollow|A_A_A|HCP,A1,"['Cr', 'Cr', 'Cr']","[10, 11, 12]","['Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr']","[5, 6, 7, 8, 9, 10, 11, 12]",3,291.0,7.23,1.66,6.76651,0.666,359.5,6,1.0,-0.74863813,3.531224889,0.65335753,25.51,5.105509079
C,Cr12,0.977673185,hollow|A_A_A|FCC,A1,"['Cr', 'Cr', 'Cr']","[9, 10, 11]","['Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr']","[5, 6, 7, 8, 9, 10, 11, 12]",3,291.0,7.23,1.66,6.76651,0.666,359.5,6,1.0,-0.74851742,3.531112009,0.653319847,25.51,5.105509079
C,Cu12,5.956332468,top|A,A1,['Cu'],[9],"['Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']","[5, 6, 8, 9, 10, 11, 12]",1,361.49,7.11,1.9,7.72638,1.235,313.1,11,1.0,-2.424518836,1.200165955,0.976938777,1.419,4.948590128
C,Cu12,4.163048937,hollow|A_A_A|HCP,A1,"['Cu', 'Cu', 'Cu']","[10, 11, 12]","['Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']","[5, 6, 7, 8, 9, 10, 11, 12]",3,361.49,7.11,1.9,7.72638,1.235,313.1,11,1.0,-2.424018938,1.200185032,0.976936295,1.419,4.948590128
C,Cu12,4.110073135,hollow|A_A_A|FCC,A1,"['Cu', 'Cu', 'Cu']","[9, 10, 11]","['Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']","[5, 6, 7, 8, 9, 10, 11, 12]",3,361.49,7.11,1.9,7.72638,1.235,313.1,11,1.0,-2.42418392,1.200207026,0.976936542,1.419,4.948590128
C,Hf12,4.407675196,top|A,A1,['Hf'],[9],"['Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf']","[5, 6, 8, 9, 10, 11, 12]",1,319.64,13.44,1.3,6.82507,0.014,655.5,4,1.0,-1.048610076,5.763411817,0.573283516,14.96,4.523521558
C,Hf12,0.950402208,hollow|A_A_A|HCP,A1,"['Hf', 'Hf', 'Hf']","[10, 11, 12]","['Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]",3,319.64,13.44,1.3,6.82507,0.014,655.5,4,1.0,-1.048158336,5.763164699,0.57318976,14.96,4.523521558
