adsorbate,surface,reaction energy (eV),site,S. designation
O,Ag6Au6,2.431486947,hollow|A_A_B|HCP,L1_o
O,Ag6Au6,2.272741312,hollow|A_A_B|FCC,L1_o
O,Ag6Au6,2.339808257,hollow|A_B_B|HCP,L1_o
O,Ag6Au6,2.171728301,hollow|A_B_B|FCC,L1_o
O,Ag6Cd6,1.246558937,hollow|A_B_B|FCC,L1_o
O,Ag6Co6,1.001724919,top|B,L1_o
O,Ag6Co6,-0.223120967,bridge|B_B|A,L1_o
O,Ag6Co6,0.775951931,hollow-tilt|A_A_B|FCC,L1_o
O,Ag6Co6,0.805714382,hollow-tilt|A_A_B|HCP,L1_o
O,Ag6Cu6,3.530969579,top|A,L1_o
O,Ag6Cu6,0.844416181,bridge|B_B|A,L1_o
O,Ag6Cu6,1.639051312,hollow|A_A_B|HCP,L1_o
O,Ag6Cu6,1.516266065,hollow|A_A_B|FCC,L1_o
O,Ag6Fe6,-0.523344981,bridge|B_B|A,L1_o
O,Ag6Fe6,0.400401908,hollow-tilt|A_A_B|FCC,L1_o
O,Ag6Fe6,0.481627753,hollow-tilt|A_A_B|HCP,L1_o
O,Ag6Hf6,-1.134414021,top|B,L1_o
O,Ag6Hf6,-2.99713733,bridge|A_A|B,L1_o
O,Ag6Hf6,-2.997226176,bridge|B_B|A,L1_o
O,Ag6Hf6,-1.423310209,bridge-tilt|A_B|A,L1_o
O,Ag6Hf6,-1.219288505,hollow-tilt|A_A_B|FCC,L1_o
O,Ag6Ir6,0.507282373,bridge|B_B|A,L1_o
O,Ag6Ir6,0.40542268,hollow|A_B_B|FCC,L1_o
O,Ag6Ir6,1.212680492,hollow-tilt|A_A_B|HCP,L1_o
O,Ag6La6,-0.931313831,top|B,L1_o
O,Ag6La6,-2.912099171,bridge|B_B|A,L1_o
O,Ag6Mn6,0.96435158,bridge|B_B|A,L1_o
O,Ag6Mo6,-0.888006641,top|B,L1_o
O,Ag6Mo6,-1.436209357,bridge|B_B|B,L1_o
O,Ag6Mo6,-1.454437175,bridge|B_B|A,L1_o
O,Ag6Mo6,-1.431986967,bridge-tilt|B_B|A,L1_o
O,Ag6Nb6,-1.144779382,top|B,L1_o
O,Ag6Nb6,-1.91167414,bridge|A_A|B,L1_o
O,Ag6Nb6,-1.912962191,bridge|B_B|A,L1_o
O,Ag6Nb6,-1.104305033,top-tilt|A,L1_o
O,Ag6Ni6,0.203387543,bridge|B_B|A,L1_o
O,Ag6Ni6,1.214890465,hollow-tilt|A_A_B|FCC,L1_o
O,Ag6Pd6,2.66695712,top|B,L1_o
O,Ag6Pd6,1.684438676,bridge|B_B|A,L1_o
O,Ag6Pd6,2.103357386,hollow|A_A_B|HCP,L1_o
O,Ag6Pd6,1.956787485,hollow|A_A_B|FCC,L1_o
O,Ag6Pd6,1.581738015,hollow|A_B_B|HCP,L1_o
O,Ag6Pd6,1.575832873,hollow|A_B_B|FCC,L1_o
O,Ag6Pt6,2.310644049,top|B,L1_o
O,Ag6Pt6,2.078359785,hollow|A_A_B|HCP,L1_o
O,Ag6Pt6,1.845480135,hollow|A_A_B|FCC,L1_o
O,Ag6Pt6,1.267181493,hollow|A_B_B|HCP,L1_o
O,Ag6Pt6,1.338576953,hollow|A_B_B|FCC,L1_o
O,Ag6Re6,-0.496411289,top|B,L1_o
O,Ag6Re6,-1.01023283,bridge|B_B|B,L1_o
O,Ag6Rh6,0.612177904,bridge|B_B|A,L1_o
O,Ag6Rh6,1.549536608,hollow|A_A_B|FCC,L1_o
O,Ag6Rh6,0.523464711,hollow|A_B_B|FCC,L1_o
O,Ag6Rh6,1.345236803,hollow-tilt|A_A_B|HCP,L1_o
O,Ag6Ru6,0.274504087,bridge|B_B|B,L1_o
O,Ag6Ru6,0.082503011,hollow|A_B_B|FCC,L1_o
O,Ag6Sc6,-3.026763317,bridge|A_A|B,L1_o
O,Ag6Sc6,-3.028793694,bridge|B_B|A,L1_o
O,Ag6Ta6,-2.283985328,bridge|A_A|B,L1_o
O,Ag6Ta6,-2.283868999,bridge|B_B|A,L1_o
O,Ag6Ta6,-1.323366606,top-tilt|B,L1_o
O,Ag6Ti6,-2.648170789,bridge|B_B|A,L1_o
O,Ag6Ti6,-1.307117192,hollow-tilt|A_A_B|FCC,L1_o
O,Ag6V6,-1.107157603,top|B,L1_o
O,Ag6V6,-2.031020684,bridge|B_B|B,L1_o
O,Ag6V6,-2.036006218,bridge|B_B|A,L1_o
O,Ag6V6,-1.102376835,top-tilt|B,L1_o
O,Ag6W6,-1.156093331,top|A,L1_o
O,Ag6W6,-1.169014793,top|B,L1_o
O,Ag6W6,-1.746280083,bridge|B_B|B,L1_o
O,Ag6W6,-1.742035652,bridge|A_A|B,L1_o
O,Ag6W6,-1.757145997,bridge|B_B|A,L1_o
