adsorbate,surface,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy,CN,GCN,Valence Electrons,reaction energy (eV),site,Beta,S. designation,ads_site,ads_indices,ads+neighbors_site,ads+neighbors_indices
C,Ag6Au6,408.175,10.24,2.1150279529900824,8.126007333333334,1.6375433333333334,291.7,3,7.5,11.0,5.627318945,hollow|A_A_B|HCP,0.5,L1_o,"['Ag', 'Ag', 'Au']","[9, 10, 11]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Ag6Au6,408.175,10.24,2.1150279529900824,8.126007333333334,1.6375433333333334,291.7,3,6.954545454545454,11.0,5.41603289,hollow|A_A_B|FCC,0.5,L1_o,"['Ag', 'Ag', 'Au']","[9, 10, 12]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Ag6Au6,408.175,10.24,2.317794425870165,8.675780666666668,1.9730866666666664,317.1,3,7.5,11.0,4.979302288,hollow|A_B_B|HCP,0.5,L1_o,"['Ag', 'Au', 'Au']","[10, 11, 12]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Ag6Au6,408.175,10.24,2.317794425870165,8.675780666666668,1.9730866666666664,317.1,3,6.954545454545454,11.0,4.950667341,hollow|A_B_B|FCC,0.5,L1_o,"['Ag', 'Au', 'Au']","[9, 11, 12]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Ag6Cd6,353.235,11.635,1.93,7.576234,1.302,266.3,2,7.33,11.0,5.5093195,bridge|A_A|B,0.5,L1_o,"['Ag', 'Ag']","[9, 10]","['Ag', 'Ag', 'Cd', 'Cd', 'Ag', 'Ag', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Ag6Cd6,353.235,11.635,1.7664861609019706,8.521291333333332,0.434,159.63333333333333,3,7.5,11.666666666666666,5.596425589,hollow|A_B_B|HCP,0.7937005259840998,L1_o,"['Ag', 'Cd', 'Cd']","[10, 11, 12]","['Ag', 'Ag', 'Cd', 'Cd', 'Ag', 'Ag', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Ag6Cd6,353.235,11.635,1.7664861609019706,8.521291333333332,0.434,159.63333333333333,3,6.954545454545454,11.666666666666666,5.497811942,hollow|A_B_B|FCC,0.7937005259840998,L1_o,"['Ag', 'Cd', 'Cd']","[9, 11, 12]","['Ag', 'Ag', 'Cd', 'Cd', 'Ag', 'Ag', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Ag6Co6,329.62,8.469999999999999,1.88,7.88101,0.662,391.2,2,7.33,9.0,2.382733535,bridge|B_B|A,1.0,L1_o,"['Co', 'Co']","[9, 10]","['Co', 'Co', 'Ag', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Ag6Co6,329.62,8.469999999999999,1.9131872990748269,7.677826,1.088666666666667,307.9333333333333,3,6.954545454545454,10.333333333333332,3.734145826,hollow-tilt|A_A_B|FCC,0.6299605249474366,L1_o,"['Co', 'Ag', 'Ag']","[9, 11, 12]","['Co', 'Co', 'Ag', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Ag6Co6,329.62,8.469999999999999,1.9131872990748269,7.677826,1.088666666666667,307.9333333333333,3,7.5,10.333333333333332,3.700240033,hollow-tilt|A_A_B|HCP,0.6299605249474366,L1_o,"['Co', 'Ag', 'Ag']","[10, 11, 12]","['Co', 'Co', 'Ag', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]"
