adsorbate,surface,reaction energy (eV),site,S. designation,ads_site,ads_indices,ads+neighbors_site,ads+neighbors_indices,Coordination_Number,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy,d-Band_Center,d-Band_Width,d-Band_Filling,DOS at Fermi Energy,Work Function
C,Ag6Au6,5.627318945,hollow|A_A_B|HCP,L1_o,"['Ag', 'Ag', 'Au']","[9, 10, 11]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.175,10.24,2.1150279529900824,8.126007333333334,1.6375433333333334,291.7,-3.68020177653703,1.22713235796756,0.983260921332056,0.7015,5.02487187079787
C,Ag6Au6,5.41603289,hollow|A_A_B|FCC,L1_o,"['Ag', 'Ag', 'Au']","[9, 10, 12]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.175,10.24,2.1150279529900824,8.126007333333334,1.6375433333333334,291.7,-3.68019383301985,1.22713801473703,0.983260761285328,0.7015,5.02487187079787
C,Ag6Au6,4.979302288,hollow|A_B_B|HCP,L1_o,"['Ag', 'Au', 'Au']","[10, 11, 12]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.175,10.24,2.317794425870165,8.675780666666668,1.9730866666666664,317.1,-3.49858179223549,1.27897120830992,0.980193192635463,0.7015,5.02487187079787
C,Ag6Au6,4.950667341,hollow|A_B_B|FCC,L1_o,"['Ag', 'Au', 'Au']","[9, 11, 12]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.175,10.24,2.317794425870165,8.675780666666668,1.9730866666666664,317.1,-3.49858861907419,1.27896726867036,0.980193505829216,0.7015,5.02487187079787
C,Ag6Cd6,5.5093195,bridge|A_A|B,L1_o,"['Ag', 'Ag']","[9, 10]","['Ag', 'Ag', 'Cd', 'Cd', 'Ag', 'Ag', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",2,353.235,11.635,1.93,7.576234,1.302,266.3,-4.28071607353275,1.05666507744366,0.987096603967556,8.012,4.41819796539895
C,Ag6Cd6,5.596425589,hollow|A_B_B|HCP,L1_o,"['Ag', 'Cd', 'Cd']","[10, 11, 12]","['Ag', 'Ag', 'Cd', 'Cd', 'Ag', 'Ag', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",3,353.235,11.635,1.7664861609019706,8.521291333333332,0.434,159.63333333333333,-7.23870692348101,2.28593816451072,0.99382730982574,8.012,4.41819796539895
C,Ag6Cd6,5.497811942,hollow|A_B_B|FCC,L1_o,"['Ag', 'Cd', 'Cd']","[9, 11, 12]","['Ag', 'Ag', 'Cd', 'Cd', 'Ag', 'Ag', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",3,353.235,11.635,1.7664861609019706,8.521291333333332,0.434,159.63333333333333,-7.2387128712805,2.28591147741807,0.993827899913004,8.012,4.41819796539895
C,Ag6Co6,2.382733535,bridge|B_B|A,L1_o,"['Co', 'Co']","[9, 10]","['Co', 'Co', 'Ag', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,329.62,8.469999999999999,1.88,7.88101,0.662,391.2,-2.40330856779523,1.56977753324522,0.979498048355667,13.028,4.83146737480971
C,Ag6Co6,3.734145826,hollow-tilt|A_A_B|FCC,L1_o,"['Co', 'Ag', 'Ag']","[9, 11, 12]","['Co', 'Co', 'Ag', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,329.62,8.469999999999999,1.9131872990748269,7.677826,1.088666666666667,307.9333333333333,-3.54470350003765,1.70160688778538,0.985611785104148,13.028,4.83146737480971
C,Ag6Co6,3.700240033,hollow-tilt|A_A_B|HCP,L1_o,"['Co', 'Ag', 'Ag']","[10, 11, 12]","['Co', 'Co', 'Ag', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,329.62,8.469999999999999,1.9131872990748269,7.677826,1.088666666666667,307.9333333333333,-3.54540009308819,1.70090803786339,0.985634782358645,13.028,4.83146737480971
