adsorbate,surface,reaction energy (eV),site,S. designation,ads_site,ads_indices,ads+neighbors_site,ads+neighbors_indices,Coordination_Number,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy,d-Band_Center,d-Band_Width,d-Band_Filling,DOS at Fermi Energy
H,Ag6Au6,0.970614824,top|A,L1_o,['Ag'],[9],"['Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[6, 7, 8, 9, 10, 11, 12]",1,408.175,10.24,1.93,7.576234,1.302,266.3,-3.86150357241452,1.14470274394725,0.986323797761779,0.7015
H,Ag6Au6,0.508873015,top|B,L1_o,['Au'],[11],"['Ag', 'Ag', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 8, 9, 10, 11, 12]",1,408.175,10.24,2.54,9.225554,2.30863,342.5,-3.31668033336727,1.30371327245403,0.977123367321658,0.7015
H,Ag6Au6,0.319611853,bridge|A_A|B,L1_o,"['Ag', 'Ag']","[9, 10]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",2,408.175,10.24,1.93,7.576234,1.302,266.3,-3.861476650207,1.14472670767388,0.986322894751234,0.7015
H,Ag6Au6,0.319847232,bridge|B_B|A,L1_o,"['Au', 'Au']","[11, 12]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",2,408.175,10.24,2.54,9.225554,2.30863,342.5,-3.31664045196068,1.30370484811266,0.977123433828177,0.7015
H,Ag6Au6,0.397102664,hollow|A_A_B|HCP,L1_o,"['Ag', 'Ag', 'Au']","[9, 10, 11]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.175,10.24,2.1150279529900824,8.126007333333334,1.6375433333333334,291.7,-3.68020177653703,1.22713235796756,0.983260921332056,0.7015
H,Ag6Au6,0.347848562,hollow|A_A_B|FCC,L1_o,"['Ag', 'Ag', 'Au']","[9, 10, 12]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.175,10.24,2.1150279529900824,8.126007333333334,1.6375433333333334,291.7,-3.68019383301985,1.22713801473703,0.983260761285328,0.7015
H,Ag6Au6,0.321077867,hollow|A_B_B|HCP,L1_o,"['Ag', 'Au', 'Au']","[10, 11, 12]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.175,10.24,2.317794425870165,8.675780666666668,1.9730866666666664,317.1,-3.49858179223549,1.27897120830992,0.980193192635463,0.7015
H,Ag6Au6,0.319901655,hollow|A_B_B|FCC,L1_o,"['Ag', 'Au', 'Au']","[9, 11, 12]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.175,10.24,2.317794425870165,8.675780666666668,1.9730866666666664,317.1,-3.49858861907419,1.27896726867036,0.980193505829216,0.7015
H,Ag6Cd6,0.879984725,top|A,L1_o,['Ag'],[9],"['Ag', 'Cd', 'Cd', 'Ag', 'Ag', 'Cd', 'Cd']","[6, 7, 8, 9, 10, 11, 12]",1,353.235,11.635,1.93,7.576234,1.302,266.3,-4.28071949224326,1.05663982162278,0.987097115791811,8.012
H,Ag6Cd6,0.971460554,top|B,L1_o,['Cd'],[11],"['Ag', 'Ag', 'Cd', 'Ag', 'Ag', 'Cd', 'Cd']","[5, 6, 8, 9, 10, 11, 12]",1,353.235,11.635,1.69,8.99382,0.0,106.3,-8.71220476107749,0.861713295805096,0.997180114164224,8.012
