adsorbate,surface,reaction energy (eV),site,S. designation,ads_site,ads_indices,ads+neighbors_site,ads+neighbors_indices,Coordination_Number,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy,Valence Electrons,Beta
O,Ag6Au6,2.431486947,hollow|A_A_B|HCP,L1_o,"['Ag', 'Ag', 'Au']","[9, 10, 11]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.17499999999995,10.24,2.1150279529900824,8.126007333333334,1.6375433333333334,291.7,11.0,0.5
O,Ag6Au6,2.272741312,hollow|A_A_B|FCC,L1_o,"['Ag', 'Ag', 'Au']","[9, 10, 12]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.17499999999995,10.24,2.1150279529900824,8.126007333333334,1.6375433333333334,291.7,11.0,0.5
O,Ag6Au6,2.339808257,hollow|A_B_B|HCP,L1_o,"['Ag', 'Au', 'Au']","[10, 11, 12]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.17499999999995,10.24,2.3177944258701655,8.675780666666668,1.9730866666666664,317.09999999999997,11.0,0.5
O,Ag6Au6,2.171728301,hollow|A_B_B|FCC,L1_o,"['Ag', 'Au', 'Au']","[9, 11, 12]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.17499999999995,10.24,2.3177944258701655,8.675780666666668,1.9730866666666664,317.09999999999997,11.0,0.5
O,Ag6Cd6,1.246558937,hollow|A_B_B|FCC,L1_o,"['Ag', 'Cd', 'Cd']","[9, 11, 12]","['Ag', 'Ag', 'Cd', 'Cd', 'Ag', 'Ag', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",3,353.235,11.635,1.7664861609019706,8.521291333333332,0.434,159.63333333333333,11.666666666666666,0.7937005259840998
O,Ag6Co6,1.001724919,top|B,L1_o,['Co'],[10],"['Co', 'Co', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[5, 6, 8, 9, 10, 11, 12]",1,329.62,8.469999999999999,1.88,7.88101,0.662,391.2,9.0,1.0
O,Ag6Co6,-0.223120967,bridge|B_B|A,L1_o,"['Co', 'Co']","[9, 10]","['Co', 'Co', 'Ag', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,329.62,8.469999999999999,1.88,7.88101,0.662,391.2,9.0,1.0
O,Ag6Co6,0.775951931,hollow-tilt|A_A_B|FCC,L1_o,"['Co', 'Ag', 'Ag']","[9, 11, 12]","['Co', 'Co', 'Ag', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,329.62,8.469999999999999,1.9131872990748267,7.677826,1.0886666666666667,307.9333333333333,10.333333333333332,0.6299605249474366
O,Ag6Co6,0.805714382,hollow-tilt|A_A_B|HCP,L1_o,"['Co', 'Ag', 'Ag']","[10, 11, 12]","['Co', 'Co', 'Ag', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,329.62,8.469999999999999,1.9131872990748267,7.677826,1.0886666666666667,307.9333333333333,10.333333333333332,0.6299605249474366
O,Ag6Cu6,3.530969579,top|A,L1_o,['Ag'],[12],"['Cu', 'Ag', 'Ag', 'Cu', 'Cu', 'Ag', 'Ag']","[6, 7, 8, 9, 10, 11, 12]",1,385.01,8.69,1.93,7.576234,1.302,266.3,11.0,0.5
