adsorbate,surface,reaction energy (eV),site,S. designation,ads_site,ads_indices,ads+neighbors_site,ads+neighbors_indices,Coordination_Number,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy,d-Band_Center,d-Band_Width,d-Band_Filling,DOS at Fermi Energy,Work Function
O,Ag6Au6,2.431486947,hollow|A_A_B|HCP,L1_o,"['Ag', 'Ag', 'Au']","[9, 10, 11]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.175,10.24,2.1150279529900824,8.126007333333334,1.6375433333333334,291.7,-3.68020177653703,1.22713235796756,0.983260921332056,0.7015,5.02487187079787
O,Ag6Au6,2.272741312,hollow|A_A_B|FCC,L1_o,"['Ag', 'Ag', 'Au']","[9, 10, 12]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.175,10.24,2.1150279529900824,8.126007333333334,1.6375433333333334,291.7,-3.68019383301985,1.22713801473703,0.983260761285328,0.7015,5.02487187079787
O,Ag6Au6,2.339808257,hollow|A_B_B|HCP,L1_o,"['Ag', 'Au', 'Au']","[10, 11, 12]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.175,10.24,2.317794425870165,8.675780666666668,1.9730866666666664,317.1,-3.49858179223549,1.27897120830992,0.980193192635463,0.7015,5.02487187079787
O,Ag6Au6,2.171728301,hollow|A_B_B|FCC,L1_o,"['Ag', 'Au', 'Au']","[9, 11, 12]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.175,10.24,2.317794425870165,8.675780666666668,1.9730866666666664,317.1,-3.49858861907419,1.27896726867036,0.980193505829216,0.7015,5.02487187079787
O,Ag6Cd6,1.246558937,hollow|A_B_B|FCC,L1_o,"['Ag', 'Cd', 'Cd']","[9, 11, 12]","['Ag', 'Ag', 'Cd', 'Cd', 'Ag', 'Ag', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",3,353.235,11.635,1.7664861609019706,8.521291333333332,0.434,159.63333333333333,-7.2387128712805,2.28591147741807,0.993827899913004,8.012,4.41819796539895
O,Ag6Co6,1.001724919,top|B,L1_o,['Co'],[10],"['Co', 'Co', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[5, 6, 8, 9, 10, 11, 12]",1,329.62,8.469999999999999,1.88,7.88101,0.662,391.2,-4.11511515870764,1.46044714698438,0.988688102457866,13.028,4.83146737480971
O,Ag6Co6,-0.223120967,bridge|B_B|A,L1_o,"['Co', 'Co']","[9, 10]","['Co', 'Co', 'Ag', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,329.62,8.469999999999999,1.88,7.88101,0.662,391.2,-2.40330856779523,1.56977753324522,0.979498048355667,13.028,4.83146737480971
O,Ag6Co6,0.775951931,hollow-tilt|A_A_B|FCC,L1_o,"['Co', 'Ag', 'Ag']","[9, 11, 12]","['Co', 'Co', 'Ag', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,329.62,8.469999999999999,1.9131872990748269,7.677826,1.088666666666667,307.9333333333333,-3.54470350003765,1.70160688778538,0.985611785104148,13.028,4.83146737480971
O,Ag6Co6,0.805714382,hollow-tilt|A_A_B|HCP,L1_o,"['Co', 'Ag', 'Ag']","[10, 11, 12]","['Co', 'Co', 'Ag', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,329.62,8.469999999999999,1.9131872990748269,7.677826,1.088666666666667,307.9333333333333,-3.54540009308819,1.70090803786339,0.985634782358645,13.028,4.83146737480971
O,Ag6Cu6,3.530969579,top|A,L1_o,['Ag'],[12],"['Cu', 'Ag', 'Ag', 'Cu', 'Cu', 'Ag', 'Ag']","[6, 7, 8, 9, 10, 11, 12]",1,385.01,8.69,1.93,7.576234,1.302,266.3,-4.16966328877007,1.22791634575257,0.98440312290053,3.905,4.78821048993569
O,Ag6Cu6,0.844416181,bridge|B_B|A,L1_o,"['Cu', 'Cu']","[9, 10]","['Cu', 'Cu', 'Ag', 'Ag', 'Cu', 'Cu', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,385.01,8.69,1.9,7.72638,1.235,313.1,-2.19062925502775,0.956398565298057,0.981300698686754,3.905,4.78821048993569
O,Ag6Cu6,1.639051312,hollow|A_A_B|HCP,L1_o,"['Cu', 'Ag', 'Ag']","[10, 11, 12]","['Cu', 'Cu', 'Ag', 'Ag', 'Cu', 'Cu', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,385.01,8.69,1.9199477343990152,7.626282666666666,1.2796666666666665,281.9,-3.50936063495182,1.4767121112693,0.983367863530106,3.905,4.78821048993569
O,Ag6Cu6,1.516266065,hollow|A_A_B|FCC,L1_o,"['Cu', 'Ag', 'Ag']","[9, 11, 12]","['Cu', 'Cu', 'Ag', 'Ag', 'Cu', 'Cu', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,385.01,8.69,1.9199477343990152,7.626282666666666,1.2796666666666665,281.9,-3.50937414610046,1.47670175491843,0.983368029565328,3.905,4.78821048993569
O,Ag6Fe6,-0.523344981,bridge|B_B|A,L1_o,"['Fe', 'Fe']","[9, 10]","['Fe', 'Fe', 'Ag', 'Ag', 'Fe', 'Fe', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,347.59,8.68,1.83,7.9024681,0.151,360.8,-2.63155837453624,0.929115029829289,0.992554831107253,10.143,4.67369875004317
O,Ag6Fe6,0.400401908,hollow-tilt|A_A_B|FCC,L1_o,"['Fe', 'Ag', 'Ag']","[9, 11, 12]","['Fe', 'Fe', 'Ag', 'Ag', 'Fe', 'Fe', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,347.59,8.68,1.8960737945071329,7.684978699999999,0.9183333333333332,297.8,-3.7772912079954,1.25692713743164,0.994773020413157,10.143,4.67369875004317
O,Ag6Fe6,0.481627753,hollow-tilt|A_A_B|HCP,L1_o,"['Fe', 'Ag', 'Ag']","[10, 11, 12]","['Fe', 'Fe', 'Ag', 'Ag', 'Fe', 'Fe', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,347.59,8.68,1.8960737945071329,7.684978699999999,0.9183333333333332,297.8,-3.77745772916484,1.25675751597998,0.994774745890976,10.143,4.67369875004317
O,Ag6Hf6,-1.134414021,top|B,L1_o,['Hf'],[11],"['Ag', 'Ag', 'Hf', 'Ag', 'Ag', 'Hf', 'Hf']","[5, 6, 8, 9, 10, 11, 12]",1,364.085,11.855,1.3,6.82507,0.014,655.5,-0.225293261856502,3.96683718064186,0.422359961272145,14.21,4.30467592545064
O,Ag6Hf6,-2.99713733,bridge|A_A|B,L1_o,"['Ag', 'Ag']","[9, 10]","['Ag', 'Ag', 'Hf', 'Hf', 'Ag', 'Ag', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]",2,364.085,11.855,1.93,7.576234,1.302,266.3,-4.62609654865905,1.70587095066773,0.982969625797478,14.21,4.30467592545064
O,Ag6Hf6,-2.997226176,bridge|B_B|A,L1_o,"['Hf', 'Hf']","[11, 12]","['Ag', 'Ag', 'Hf', 'Hf', 'Ag', 'Ag', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]",2,364.085,11.855,1.3,6.82507,0.014,655.5,-0.224949800234501,3.96660111108574,0.422309206168512,14.21,4.30467592545064
O,Ag6Hf6,-1.423310209,bridge-tilt|A_B|A,L1_o,"['Ag', 'Hf']","[10, 11]","['Ag', 'Ag', 'Hf', 'Hf', 'Ag', 'Ag', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]",2,364.085,11.855,1.5839823231336896,7.200652,0.658,460.9,-2.86834022412273,3.56066511244201,0.759042643215477,14.21,4.30467592545064
O,Ag6Hf6,-1.219288505,hollow-tilt|A_A_B|FCC,L1_o,"['Ag', 'Ag', 'Hf']","[9, 10, 12]","['Ag', 'Ag', 'Hf', 'Hf', 'Ag', 'Ag', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]",3,364.085,11.855,1.691814164732478,7.325846,0.8726666666666666,396.0333333333333,-3.52802740631829,3.12035705289175,0.843081479971427,14.21,4.30467592545064
