adsorbate,surface,reaction energy (eV),site,S. designation,ads_site,ads_indices,ads+neighbors_site,ads+neighbors_indices,CN,GCN,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy,Valence Electrons,Beta
H,Ag12,0.844867346,top|A,A1,['Ag'],[9],"['Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",1,7.5,408.53,10.27,1.93,7.576234,1.302,266.3,11,0.5
H,Ag12,0.462215151,bridge|A_A|A,A1,"['Ag', 'Ag']","[11, 12]","['Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,7.33,408.53,10.27,1.93,7.576234,1.302,266.3,11,0.5
H,Ag12,0.355347475,hollow|A_A_A|HCP,A1,"['Ag', 'Ag', 'Ag']","[10, 11, 12]","['Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,7.5,408.53,10.27,1.93,7.576234,1.302,266.3,11,0.5
H,Ag12,0.338155323,hollow|A_A_A|FCC,A1,"['Ag', 'Ag', 'Ag']","[9, 10, 11]","['Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,6.954545454545454,408.53,10.27,1.93,7.576234,1.302,266.3,11,0.5
H,Au12,0.534248174,top|A,A1,['Au'],[9],"['Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",1,7.5,407.82,10.21,2.54,9.225554,2.30863,342.5,11,0.5
H,Au12,0.39593203,bridge|A_A|A,A1,"['Au', 'Au']","[11, 12]","['Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",2,7.33,407.82,10.21,2.54,9.225554,2.30863,342.5,11,0.5
H,Au12,0.371106676,hollow|A_A_A|HCP,A1,"['Au', 'Au', 'Au']","[10, 11, 12]","['Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,7.5,407.82,10.21,2.54,9.225554,2.30863,342.5,11,0.5
H,Au12,0.322403197,hollow|A_A_A|FCC,A1,"['Au', 'Au', 'Au']","[9, 10, 11]","['Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,6.954545454545454,407.82,10.21,2.54,9.225554,2.30863,342.5,11,0.5
H,Cd12,0.966015964,top|A,A1,['Cd'],[9],"['Cd', 'Cd', 'Cd', 'Cd', 'Cd', 'Cd', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",1,7.5,297.94,13.0,1.69,8.99382,0.0,106.3,12,1.0
H,Cd12,0.839368333,bridge|A_A|A,A1,"['Cd', 'Cd']","[11, 12]","['Cd', 'Cd', 'Cd', 'Cd', 'Cd', 'Cd', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",2,7.33,297.94,13.0,1.69,8.99382,0.0,106.3,12,1.0
