surface,A,B,
Ag6Au6,Ag,Au,
Ag6Cd6,Ag,Cd,
Ag6Co6,Ag,Co,
Ag6Cr6,Ag,Cr,
Ag6Cu6,Ag,Cu,
Ag6Fe6,Ag,Fe,
Ag6Hf6,Ag,Hf,
Ag6Hg6,Ag,Hg,
Ag6Ir6,Ag,Ir,
Ag6La6,Ag,La,
Ag6Mn6,Ag,Mn,
Ag6Mo6,Ag,Mo,
Ag6Nb6,Ag,Nb,
Ag6Ni6,Ag,Ni,?
Ag6Os6,Ag,Os,?
Ag6Pd6,Ag,Pd,
Ag6Pt6,Ag,Pt,
Ag6Re6,Ag,Re,
Ag6Rh6,Ag,Rh,
Ag6Ru6,Ag,Ru,
Ag6Sc6,Ag,Sc,
Ag6Ta6,Ag,Ta,
Ag6Tc6,Ag,Tc,
Ag6Ti6,Ag,Ti,
Ag6V6,Ag,V,
Ag6W6,Ag,W,
Ag6Y6,Ag,Y,
Ag6Zn6,Ag,Zn,
Ag6Zr6,Ag,Zr,
Au6Cd6,Au,Cd,
Au6Co6,Au,Co,
Au6Cr6,Au,Cr,
Au6Cu6,Au,Cu,
Au6Fe6,Au,Fe,
Au6Hf6,Au,Hf,
Au6Hg6,Au,Hg,
Au6Ir6,Au,Ir,
Au6La6,Au,La,
Au6Mn6,Au,Mn,
Au6Mo6,Au,Mo,
Au6Nb6,Au,Nb,
Au6Ni6,Au,Ni,
Au6Pd6,Au,Pd,
Au6Pt6,Au,Pt,
Au6Re6,Au,Re,
Au6Rh6,Au,Rh,
Au6Ru6,Au,Ru,
Au6Sc6,Au,Sc,
Au6Ta6,Au,Ta,
Au6Tc6,Au,Tc,
Au6Ti6,Au,Ti,
Au6V6,Au,V,
Au6W6,Au,W,
Au6Y6,Au,Y,
Au6Zn6,Au,Zn,
Au6Zr6,Au,Zr,
Cd6Co6,Cd,Co,
Cd6Cu6,Cd,Cu,
Cd6Fe6,Cd,Fe,
Cd6Hf6,Cd,Hf,
Cd6Hg6,,,
Cd6Ir6,,,
Cd6La6,,,
Cd6Mn6,,,
Cd6Mo6,,,
Cd6Nb6,,,
Cd6Ni6,,,
Cd6Os6,,,
Cd6Pd6,,,
Cd6Pt6,,,
Cd6Re6,,,
Cd6Rh6,,,
Cd6Ru6,,,
Cd6Sc6,,,
Cd6Ta6,,,
Cd6Tc6,,,
Cd6Ti6,,,
Cd6V6,,,
Cd6W6,,,
Cd6Y6,,,
Cd6Zn6,,,
Cd6Zr6,,,
