Symbol,Electronegativity,Ionization Energy,Electron Affinity,Sublimation Energy,Molar Volume,Lattice Parameter,Sv,Beta
Ag,1.93,7.576234,1.302,266.3,10.27,408.53,11,0.5
Au,2.54,9.225554,2.30863,342.5,10.21,407.82,11,0.5
Cd,1.69,8.99382,0,106.3,13,297.94,12,1
Co,1.88,7.88101,0.662,391.2,6.67,250.71,9,1
Cr,1.66,6.76651,0.666,359.5,7.23,291,6,1
Cu,1.9,7.72638,1.235,313.1,7.11,361.49,11,1
Fe,1.83,7.9024681,0.151,360.8,7.09,286.65,8,1
Hf,1.3,6.82507,0.014,655.5,13.44,319.64,4,1
Hg,2,10.437504,0,61.49,14.09,300.5,12,1
Ir,2.2,8.96702,1.5638,586,8.52,383.9,9,1
La,1.1,5.5769,0.47,406.2,22.39,377.2,3,1
Mn,1.55,7.434038,0,233.2,7.35,891.25,7,1
Mo,2.16,7.09243,0.748,636,9.38,314.7,6,1
Nb,1.6,6.75885,0.916,716.8,10.83,330.04,5,1
Ni,1.91,7.639878,1.156,395.2,6.59,352.4,10,1
Os,2.2,8.43823,1.1,661,8.42,273.44,8,1
Pd,2.2,8.336839,0.562,396.7,8.56,389.07,10,1
Pt,2.28,8.95883,2.128,510,9.09,392.42,10,1
Re,1.9,7.83352,0.15,738,8.86,276.1,7,1
Rh,2.28,7.4589,1.137,516.7,8.28,380.34,9,1
Ru,2.2,7.3605,1.05,605.7,8.17,270.59,8,1
Sc,1.36,6.56149,0.188,334,15,330.9,3,1
Ta,1.5,7.549571,0.322,771,10.85,330.13,5,1
Tc,1.9,7.11938,0.55,573,8.63,273.5,7,1
Ti,1.54,6.82812,0.079,443.7,10.64,295.08,4,1
V,1.63,6.746187,0.525,475.8,8.32,303,5,1
W,2.36,7.86403,0.81626,835,9.47,316.52,6,1
Y,1.22,6.21726,0.307,391.4,19.88,364.74,3,1
Zn,1.65,9.394197,0,126.35,9.16,266.49,12,1
Zr,1.33,6.634126,0.426,601,14.02,323.2,4,1
