Alloy,Workfunction
Ag,4.68172604373298
Ag2Au2,5.02487187079787
Ag2Cd2,4.41819796539895
Ag2Hf2,4.30467592545064
Ag2Hg2,4.47573721475059
Ag2Ir2,5.15849431166805
Ag2Os2,4.99642718641182
Ag2Pt2,5.26108720639912
Ag2Re2,5.24041135372826
Ag2Ta2,4.75370121454897
Ag2W2,5.10299517103485
Ag2Y2,3.58260887722371
Au,5.42672180519814
Au2Hg2,4.84005998053095
Cd,4.17042789538443
Cd2Au2,4.63406041711315
Cd2Hf2,4.3153763147004
Cd2Hg2,4.17951153686134
Cd2Ir2,4.7986362576762
Cd2Os2,4.69599092263141
Cd2Pt2,4.92306113363625
Cd2Re2,4.79219167681409
Cd2Ta2,4.61200048111826
Cd2W2,4.79662431210447
Cd2Y2,3.83118751138159
Co,5.16920632873917
Co2Ag2,4.83146737480971
Co2Au2,5.13113218863563
Co2Cd2,4.53904836316378
Co2Cu2,5.04689439948633
Co2Fe2,4.97705042151327
Co2Hf2,4.32765340440029
Co2Hg2,4.67628405250939
Co2Ir2,5.3988718092162
Co2La2,3.37367654931222
Co2Mn2,4.80231355197654
Co2Ni2,5.18694846282232
Co2Os2,5.4113133575944
Co2Pd2,5.06676830562401
Co2Pt2,5.30961556228522
Co2Re2,5.40441458399427
Co2Rh2,5.13652100454827
Co2Ru2,5.20857961649472
Co2Sc2,4.16414879025344
Co2Ti2,4.47156860088974
Co2V2,4.92365714204392
Co2W2,5.26255611167539
Co2Y2,3.82358811330256
Co2Zn2,4.84532990418859
Co2Zr2,4.20043589782873
Cr,5.10550907881884
Cr2Ag2,4.747445271923
Cr2Au2,5.05861479844695
Cr2Cd2,4.51994741691768
Cr2Cu2,5.09830099869606
Cr2Fe2,5.07675453636417
Cr2Hf2,4.60687583887022
Cr2Hg2,4.56284201785904
Cr2Ir2,5.27810328964366
Cr2La2,3.48510893973629
Cr2Mn2,5.01657991097411
Cr2Mo2,4.96567052402399
Cr2Nb2,4.74815971428093
Cr2Ni2,5.18776559443048
Cr2Os2,5.22438674176857
Cr2Pd2,5.10336509893106
Cr2Pt2,5.29029566695605
Cr2Re2,5.19098769225684
Cr2Rh2,5.11162268403373
Cr2Ru2,5.06608682513756
Cr2Ta2,4.88261939826887
Cr2Tc2,5.05059954321038
Cr2W2,5.03643511390332
Cr2Y2,3.57085444497562
Cr2Zn2,4.83363874292289
Cr2Zr2,4.47518071580417
Cu,4.9485901283999
Cu2Ag2,4.78821048993569
Cu2Au2,5.13527477187297
Cu2Cd2,4.5323638161156
Cu2Hf2,4.2618873806274
Cu2Hg2,4.66338557322829
Cu2Ir2,5.38660867252732
