 Adsorption Energy,Valence Electrons, Surface
5,-0.028206232,Hf6V6
6,-0.02759969,Cr6Hf6
6.480740698,-0.020136152,Cr6Mn6
6,0.077084136,Cr6Zr6
7,0.102673449,Tc6Y6
5,0.128615422,V6Zr6
8,0.177241485,Os6Y6
7,0.264096549,Re6Zr6
4.898979486,0.292246181,Hf6Mo6
7,0.294637926,Hf6Re6
6,0.334450221,Cr6Ta6
5,0.334540971,La6V6
5,0.336639513,Ta6V6
6,0.347093718,Cr6Ti6
8,0.387308606,Os6Sc6
6,0.398795212,Mo6Zr6
7,0.42815371,Sc6Tc6
5,0.439420039,Ta12
7,0.47454599,Re6Ti6
6,0.493712736,Cr6La6
6,0.503803942,Cr6Nb6
4.762203156,0.519909544,W6Y6
4,0.526317144,La6Ti6
6,0.561387312,W12
6,0.571370488,Cr6Sc6
6.633249581,0.587037715,Cu6Hf6
4,0.618295023,Ti6Y6
6.480740698,0.660295386,Mn6W6
8,0.662904005,Fe6Hf6
4.217163327,0.677259507,La6Ta6
8,0.685548911,Fe6Ta6
6.633249581,0.687920655,Cu6Zr6
6,0.708916143,Cr6W6
7,0.710603657,Tc6Zr6
8,0.71299336,Fe6Zr6
5,0.728154183,Nb12
6,0.734244771,Mo6Y6
8,0.739325,Ru6Y6
8,0.74276724,Fe6Y6
6.480740698,0.74381379,Cr6Re6
7,0.765883583,Hf6Tc6
7,0.771900972,Re6Ta6
7,0.772304109,Mn6Zr6
6,0.775008784,La6Mo6
4.641588834,0.775250694,Hf6Ta6
9,0.782355178,Co6Y6
7,0.796065906,Nb6Re6
4.217163327,0.807804216,Sc6V6
7,0.821817535,La6Tc6
4.641588834,0.828190305,Ta6Zr6
10,0.83620052,Ni6Zr6
5.241482788,0.838442738,Hf6W6
3.634241186,0.843876579,Hf6Y6
10,0.844061617,Hf6Ni6
9,0.846466967,Co6Zr6
4.217163327,0.849913697,Ta6Y6
5.313292846,0.850687044,Ta6W6
7,0.85265606,Mn6Nb6
4.217163327,0.859268562,Sc6Ta6
4.762203156,0.859952929,Sc6W6
4.217163327,0.865816166,Nb6Y6
6.480740698,0.871421847,Cr6Tc6
7,0.87177369,Re6V6
7,0.881301892,Mn6Ta6
5,0.88328084,V12
9,0.904207891,Co6Hf6
7,0.907120053,Mn6Y6
5,0.916639275,Nb6Ta6
5.241482788,0.919152927,W6Zr6
3.634241186,0.920388188,Sc6Ti6
3.634241186,0.930602661,Hf6La6
5.646216173,0.931442132,Nb6W6
7,0.943558137,Tc6Ti6
4,0.943924402,Hf6Ti6
9,0.944078146,Co6Sc6
5,0.94797332,La6Nb6
4,0.950402208,Hf12
8,0.960501985,Ru6Sc6
4.641588834,0.967880216,Ta6Ti6
6.649399761,0.976904735,Re6W6
6,0.977673185,Cr12
6,0.981514752,Mo6W6
5.646216173,0.99020049,V6W6
6,0.99134296,Mo6Ta6
4,0.994543291,Ti6Zr6
5.277632088,1.003657608,Re6Sc6
6.92820323,1.009584383,Hf6Zn6
8,1.011314347,Hf6Os6
3.634241186,1.043287042,Hf6Sc6
5.241482788,1.048611766,Ti6W6
6.316359598,1.065566907,Tc6W6
4.30886938,1.06621032,Hf6Nb6
4.762203156,1.077728899,Mo6Sc6
6,1.083346689,Mo12
3,1.087686361,La6Sc6
6.649399761,1.090090487,Mo6Re6
8,1.090861793,Os6Zr6
5,1.09162276,Nb6V6
3.634241186,1.092251343,Y6Zr6
4.641588834,1.095834266,Ti6V6
9,1.102603778,Co6Ti6
8,1.109903639,Os6Ti6
4,1.114136778,Hf6Zr6
6.92820323,1.114628352,Zn6Zr6
6,1.115912865,Cr6Mo6
8,1.122265227,Fe6La6
9,1.125890736,Co6La6
8,1.13197765,La6Ru6
4.641588834,1.13549581,Nb6Zr6
3,1.138339808,Sc6Y6
3.634241186,1.162705561,La6Zr6
5.646216173,1.165175402,Mo6Nb6
4.30886938,1.167453812,Nb6Ti6
4.217163327,1.179115114,Nb6Sc6
7,1.17924015,Nb6Tc6
7,1.197909881,Ta6Tc6
7.268482371,1.208521368,Mo6Os6
5.646216173,1.215659594,Cr6V6
7.268482371,1.241308092,Os6W6
8,1.244411007,Ru6Zn6
6.649399761,1.248992179,Mo6Tc6
7.651724731,1.258727868,Os6Tc6
4,1.262184122,Zr12
5.646216173,1.272320907,Mo6V6
7,1.278900347,Re6Tc6
4,1.288465013,Ti12
4.57885697,1.296989659,Mo6Ti6
7,1.298531864,Tc6V6
3.634241186,1.311196722,Sc6Zr6
9,1.316527568,Ir6Y6
6.32455532,1.322552169,Pt6Zr6
7.651724731,1.329677606,Os6Re6
7,1.342907236,La6Mn6
7.31861142,1.352806738,Re6Ru6
7.883735163,1.353990841,Pd6Re6
7.268482371,1.375850154,Mo6Ru6
5.744562647,1.377864069,Cu6Sc6
7.651724731,1.379298381,Ru6Tc6
7,1.382594223,Re12
7.268482371,1.392553182,Ru6W6
7,1.396295019,Tc12
7.268482371,1.397355583,Cr6Os6
6.082201996,1.405067153,Rh6Ta6
6.082201996,1.42147276,Ir6Ta6
7,1.434722255,Ag6Re6
8.61773876,1.443342685,Os6Pd6
8,1.447906307,Ru6Zr6
6,1.458369492,Sc6Zn6
8.61773876,1.480621193,Os6Pt6
7,1.487741188,Re6Y6
7,1.488957264,La6Re6
6.316359598,1.496570057,Mn6Mo6
7.611662611,1.499100988,Re6Rh6
7.883735163,1.50928961,Ni6Re6
7.883735163,1.509700638,Pt6Re6
9,1.518371954,Ir6La6
6.32455532,1.52354443,Hf6Pd6
7.883735163,1.531184026,Pd6Tc6
