Valence Electrons, Adsorption Energy, Surface
3,-3.751788326,Sc12
4,-3.730901957,Hf12
3,-3.724476805,Sc6Y6
3.634241186,-3.695666616,Hf6Sc6
3.634241186,-3.692015392,Hf6Y6
3,-3.648769292,Y12
4,-3.60323213,Hf6Zr6
4,-3.571118343,Hf6Ti6
3.634241186,-3.539837089,Sc6Ti6
3.301927249,-3.538077601,Sc6Zr6
3.634241186,-3.47983762,Ti6Y6
4.30886938,-3.462855403,Hf6Ta6
3.634241186,-3.459214656,Y6Zr6
4,-3.455084921,Ti12
3,-3.438166515,La6Sc6
3.634241186,-3.432626413,Hf6La6
4,-3.425847785,Zr12
3,-3.414582408,La6Y6
4,-3.38618937,Ti6Zr6
3.556893304,-3.363343917,Sc6Ta6
4.30886938,-3.36248254,Hf6Nb6
4.30886938,-3.355785139,Ta6Ti6
6.316359598,-3.305360404,Cr6Mn6
5,-3.260459443,Ta12
3.556893304,-3.25582031,Nb6Sc6
4.472135955,-3.247818395,Hf6V6
3,-3.240632821,La6Mo6
5,-3.230985841,V12
4.30886938,-3.224155103,Nb6Ti6
3.634241186,-3.219845636,La6Zr6
4,-3.195834856,Hf6Pd6
3.556893304,-3.192500236,Sc6V6
4,-3.187125988,Cu6Hf6
3.556893304,-3.164533193,Ta6Y6
4.30886938,-3.163671816,Ti6V6
4.30886938,-3.126384057,Ta6Zr6
5,-3.110507983,V6Zr6
4,-3.091792946,La6Ti6
4,-3.057821302,Cd6Hf6
3,-3.028793694,Ag6Sc6
4,-3.022896715,Au6Hf6
3.556893304,-3.019521279,Nb6Y6
5,-3.007561876,La6Ta6
3,-3.004750532,La12
4.30886938,-3.000117657,Nb6Zr6
4,-2.997226176,Ag6Hf6
5,-2.982999248,Nb12
3,-2.971840404,Cd6Sc6
3,-2.968642658,Ag6Y6
12,-2.937190244,Hf6Hg6
4,-2.919939587,Hf6Zn6
3,-2.912099171,Ag6La6
5,-2.907355819,La6V6
4,-2.895954793,Cu6Zr6
4.57885697,-2.890881639,Hf6W6
4,-2.876734848,Hf6Ni6
3.77976315,-2.872876002,Mo6Y6
4,-2.864514624,Hf6Pt6
3,-2.860115632,Hg6Sc6
3.77976315,-2.832789824,Sc6W6
3,-2.8302076,Cd6Y6
5,-2.829773578,Nb6Ta6
4.57885697,-2.824138372,Ti6W6
4,-2.817946014,Pd6Zr6
3,-2.806712202,Hg6La6
5.313292846,-2.802555663,Nb6W6
3,-2.799056688,Cd6La6
3,-2.795575127,Hg6Y6
4.57885697,-2.791306205,Cr6Hf6
3.77976315,-2.769421994,Cr6Sc6
3.77976315,-2.76353277,Mo6Sc6
4.57885697,-2.760608091,Mo6Ti6
5,-2.749947759,La6Nb6
4.582575695,-2.746558989,Mn6Y6
4,-2.739338449,Cd6Ti6
4,-2.738200741,Cd6Zr6
5,-2.731684567,Nb6V6
5.241482788,-2.712926807,Hf6Rh6
5,-2.71239741,Ta6V6
7.559526299,-2.710444857,Sc6Zn6
5.241482788,-2.702924719,Co6Hf6
4.898979486,-2.702380491,Fe6Y6
4.626065009,-2.688223361,Cu6Sc6
4.57885697,-2.686555303,Cr6Zr6
6,-2.672127555,Cr6Ti6
3,-2.668980694,Au6Sc6
3,-2.668131563,Au6Y6
4,-2.66456143,Zn6Zr6
11,-2.650263344,Ag6Zr6
4,-2.648170789,Ag6Ti6
4,-2.648103713,Ni6Zr6
3,-2.642799261,Au6La6
12,-2.631312928,Hg6Zr6
4,-2.61585142,Au6Zr6
5.848035476,-2.615374132,Fe6Ta6
4.57885697,-2.612119242,W6Zr6
4,-2.607715216,Ti6Zn6
3,-2.582540468,Cu6Y6
4.762203156,-2.581060305,Y6Zn6
4,-2.579698239,Hg6Ti6
5.0396842,-2.576433689,Fe6Hf6
4.820284528,-2.562502277,Mn6Zr6
5.241482788,-2.562427446,Rh6Zr6
