Period,Group,Valence Electrons, Adsorption Energy, Surface
1,1,3,-0.708506339,Cu6Sc6
1,2,5.604078661,-0.75827011,Cu6Ti6
1,3,6.502957234,-0.659828031,Cu6V6
1,5,8.138223044,1.231930641,Cu6Mn6
1,6,8.895920362,-0.406855632,Cu6Fe6
1,7,9.62260299,-0.327433902,Co6Cu6
1,8,10.32280115,-0.337988381,Cu6Ni6
1,4,7.343420462,-0.632293103,Cr6Cu6
1,9,11,-0.053560439,Cu12
1,10,11.32371348,0.159172174,Cu6Zn6
2,1,3,-0.704130749,Cu6Y6
2,2,5.604078661,-0.800465306,Cu6Zr6
2,3,6.502957234,-0.693316401,Cu6Nb6
2,4,7.343420462,-0.637616739,Cu6Mo6
2,5,7,-0.481917418,Cu6Tc6
2,6,8,-0.277813263,Cu6Ru6
2,7,9.62260299,-0.321869038,Cu6Rh6
2,8,10.32280115,-0.22658484,Cu6Pd6
2,9,11,0.051979866,Ag6Cu6
2,10,11,0.171934721,Cd6Cu6
3,1,4.626065009,-0.441825798,Cu6La6
3,2,4,-0.900437073,Cu6Hf6
3,3,5,-0.754445142,Cu6Ta6
3,4,6,-0.746565813,Cu6W6
3,5,11,-0.635279145,Cu6Re6
3,6,8,-0.334694171,Cu6Os6
3,7,9,-0.381685238,Cu6Ir6
3,8,10,-0.309796707,Cu6Pt6
3,9,11,0.164787243,Au6Cu6
3,10,11,0.151851087,Cu6Hg6
