Period,Valence Electrons, Adsorption Energy, Surface
1,3,1.560266056,Sc12
1,4,1.288465013,Ti12
1,5,0.88328084,V12
1,6,0.977673185,Cr12
1,9,2.106999494,Co12
1,11,4.110073135,Cu12
1,12,4.489099412,Zn12
2,3,1.796520869,Y12
2,4,1.262184122,Zr12
2,5,0.728154183,Nb12
2,6,1.083346689,Mo12
2,7,1.396295019,Tc12
2,8,1.59930963,Ru12
2,9,1.926347062,Rh12
2,10,2.504732645,Pd12
2,11,5.608978745,Ag12
2,12,5.363709208,Cd12
3,3,1.839902482,La12
3,4,0.950402208,Hf12
3,5,0.439420039,Ta12
3,6,0.561387312,W12
3,7,1.382594223,Re12
3,8,1.677095004,Os12
3,9,1.88966081,Ir12
3,10,2.222465831,Pt12
3,11,4.7414235,Au12
