Period,Valence Electrons, Adsorption Energy, Surface
1,3,-1.003077461,Sc12
1,4,-1.01043746,Ti12
1,5,-0.99566059,V12
1,6,-0.878578305,Cr12
1,9,-0.448717897,Co12
1,11,-0.053560439,Cu12
1,12,0.552737221,Zn12
2,3,-0.970131958,Y12
2,4,-0.992339168,Zr12
2,5,-0.943553103,Nb12
2,6,-0.989087,Mo12
2,7,-0.559478978,Tc12
2,8,-0.411165643,Ru12
2,9,-0.284275014,Rh12
2,10,-0.289728039,Pd12
2,11,0.338155323,Ag12
2,12,0.825439234,Cd12
3,3,-0.687573846,La12
3,4,-0.996874898,Hf12
3,5,-1.019672595,Ta12
3,6,-0.879511383,W12
3,7,-0.511985045,Re12
3,8,-0.258513453,Os12
3,9,-0.324119827,Ir12
3,10,-0.312314032,Pt12
3,11,0.322403197,Au12
