Period,Valence Electrons, Adsorption Energy, Surface
1,3,-3.751788326,Sc12
1,4,-3.455084921,Ti12
1,5,-3.230985841,V12
1,6,-2.500851622,Cr12
1,9,-0.253032128,Co12
1,11,0.815140814,Cu12
1,12,0.078724574,Zn12
2,3,-3.648769292,Y12
2,4,-3.425847785,Zr12
2,5,-2.982999248,Nb12
2,6,-2.116413272,Mo12
2,7,-1.287207166,Tc12
2,8,-0.376089897,Ru12
2,9,0.595410113,Rh12
2,10,1.359148895,Pd12
2,11,1.961799686,Ag12
2,12,0.904440412,Cd12
3,3,-3.004750532,La12
3,4,-3.730901957,Hf12
3,5,-3.260459443,Ta12
3,6,-2.198106472,W12
3,7,-1.20893607,Re12
3,8,-0.129969325,Os12
3,9,0.750792558,Ir12
3,10,1.417018665,Pt12
3,11,2.415031951,Au12
