Valence Electrons, Adsorption Energy, Surface
4,-0.739253298,Hf6Pt6
6.299605249,-0.640233657,Pt6Ta6
4,-0.621889647,Pt6Zr6
6,-0.596738437,Pt6W6
6.299605249,-0.590736422,Nb6Pt6
6.299605249,-0.52795078,Pt6V6
7.113786609,-0.470261149,Mo6Pt6
5.428835233,-0.467562597,Pt6Ti6
7.113786609,-0.432063169,Cr6Pt6
7,-0.407946808,Pt6Re6
3,-0.401255121,Pt6Y6
9,-0.38702003,Ir6Pt6
10,-0.340017534,Ag6Pt6
7.883735163,-0.317942435,Pt6Tc6
4.481404747,-0.314158556,Pt6Sc6
10,-0.312314032,Pt12
10,-0.309796707,Cu6Pt6
8,-0.308441036,Os6Pt6
10,-0.306656241,Pd6Pt6
9.321697518,-0.291889984,Pt6Rh6
10,-0.284464542,Ni6Pt6
8.61773876,-0.262794756,Pt6Ru6
10,-0.250679296,Cd6Pt6
10,-0.247521278,Au6Pt6
9.321697518,-0.226542254,Co6Pt6
4.481404747,-0.207741637,La6Pt6
10,-0.184417263,Pt6Zn6
10,-0.153773571,Hg6Pt6
8.61773876,0.079090568,Fe6Pt6
