Adsorption Energy, d-Band Center and Width, Surface
-2.308307951,-0.13284021950000002,Cr6Mn6
-2.288006218,0.14102628750000012,Cr6Mn6
-2.234331763,0.4047248940000001,Cr6Mn6
-2.205675727,-0.42188263300000006,Cr6Mn6
-2.155592903,0.005738377500000169,Cr6Mn6
-1.663228219,-0.4217375004999999,Cr6Mn6
-1.602611732,0.405031068,Cr6Mn6
-1.350000428,1.4260508445000002,Nb6W6
-1.034150276,1.6347862775,Hf6Ti6
-1.025804409,2.330584145,Os6Y6
-1.02435513,1.2878633215,Ti6Zr6
-1.019672595,2.8945189995000002,Ta12
-1.012364978,1.947740972,Hf6V6
-1.01043746,1.1805529885,Ti12
-1.010037861,1.9031095664999997,Ta6Ti6
-1.009977451,1.8536031915,Re6Zr6
-1.003077461,1.3709278875000002,Sc12
-1.001750906,1.9972525104999999,Sc6Ta6
-0.999504198,1.5067048975,Hf6Zr6
-0.996874898,1.8331257905,Hf12
-0.99566059,1.14146098,V12
-0.995218133,2.26501973,Hf6Re6
-0.992339168,1.2908155085,Zr12
-0.992279712,1.6644397905,Hf6Sc6
-0.990286206,1.8334240135,Hf12
-0.990126339,2.0970424905,Ta6Zr6
-0.989298568,2.2576727295,Hf6Ta6
-0.989087,1.2488817254999998,Mo12
-0.988705904,2.072885155,Os6Sc6
-0.987603707,1.4958779075000002,Sc6Y6
-0.98659539,1.405520138,Sc6Ti6
-0.985095634,2.1190477915,Cr6Hf6
-0.985095634,2.1190477915,Cr6Hf6
-0.985095634,2.1190477915,Cr6Hf6
-0.98445467,1.8552720944999999,Os6Zr6
-0.984265279,1.132392383,Os6Zr6
-0.981890133,1.6794798389999999,Hf6Sc6
-0.981801424,1.6644007379999999,Hf6Sc6
-0.979383012,1.6328603585,Hf6Y6
-0.976652078,1.3173320175,V6Zr6
-0.975953562,1.5689675275,Hf6Zr6
-0.975464165,1.9739822665000002,Ta6Ti6
-0.972873505,1.2348641295,Sc6W6
-0.972541526,2.1828964650000002,Nb6Ta6
-0.971857976,1.3486497325000002,Sc6Zr6
-0.971051567,2.1115482725,Ta6Y6
-0.970131958,1.470927386,Y12
-0.967033398,1.6794942654999998,Hf6Sc6
-0.96690496,1.5503064764999999,V6Zr6
-0.966593934,1.2421994595,Sc6Ti6
-0.963137408,1.5585622199999998,Ti6Y6
-0.962320794,1.6346775355,Hf6Ti6
-0.961195059,1.496040994,Sc6Y6
-0.960070685,2.2914016205000003,Hf6Os6
-0.959918845,1.1861777105,Ti6V6
-0.959748774,2.4411950520000003,Hf6Ta6
-0.959663194,1.19919001,Nb6Ti6
-0.959658569,1.6867319630000002,Cr6Zr6
-0.958903725,1.7497884765,Hf6Y6
-0.956476197,1.180560866,Ti12
-0.954071935,1.141165849,V12
-0.953797236,1.4054758205,Sc6Ti6
-0.953376004,1.3706565035,Sc12
-0.952307277,2.130338046,Nb6Ta6
-0.951701144,2.894891372,Ta12
-0.950013085,1.5486109455000001,Y6Zr6
-0.94854612,1.815533097,La6Os6
-0.946481048,1.494193284,Hf6Ti6
-0.946379821,1.5689387549999998,Hf6Zr6
-0.945818995,1.4312020565,Sc6Zr6
-0.943913246,1.431274257,Sc6Zr6
-0.943553103,1.2686081495000003,Nb12
-0.942171445,1.205789824,Nb6Sc6
-0.942132805,1.8586849305,Os6Y6
-0.941223808,1.5522054675,Cr6Ti6
-0.940494271,1.4242310645000003,Hf6Nb6
-0.939730448,1.1855470550000002,Cr6Ti6
-0.938004021,1.4941739330000001,Hf6Ti6
-0.937619388,1.311770787,Nb6Zr6
-0.937389452,1.6089455945000002,Re6Ti6
-0.937078698,1.3209507944999999,Nb6Ti6
-0.937010398,1.2422134109999998,Sc6Ti6
-0.935203834,2.4411968135000004,Hf6Ta6
-0.933219172,1.3936119489999998,Sc6Y6
-0.933073047,1.3483830035,Sc6Zr6
-0.932389088,1.3345000644999998,W6Y6
-0.932111668,0.9932755839999998,W6Y6
-0.9296255,1.332863257,Ti6Y6
-0.927591857,1.318273759,Ti6V6
-0.927178653,1.3806029375,Y6Zr6
-0.92607836,1.243985831,Ti6W6
-0.92541209,2.181337538,Ta6Zr6
-0.923496408,1.7498536455,Hf6Y6
-0.92295531,2.2196083759999996,Sc6Ta6
-0.921003709,1.9032453585,Ta6Ti6
-0.920146687,1.9739127279999997,Ta6Ti6
-0.918787342,1.2854228404999999,Nb6V6
-0.918433322,1.3701391129999998,W6Zr6
-0.917184183,1.3354844315,Nb6Y6
-0.915210134,1.2363351015,Sc6V6
-0.913903987,1.997751821,Sc6Ta6
-0.913591464,2.2392583134999997,Ta6W6
-0.913387787,1.6328253339999999,Hf6Y6
-0.912795531,1.4651870704999999,Os6Ti6
-0.912607093,0.7858891160000001,Os6Ti6
-0.911505304,1.2321945159999999,Ti6Zr6
-0.910451815,1.5067283210000002,Hf6Zr6
-0.90919288,0.7266304765000001,Cr6Sc6
-0.908698586,1.656898151,Tc6Zr6
-0.907914489,0.9611985065,Sc6V6
-0.90718917,1.1425108105000001,Tc6Zr6
-0.906448748,2.3251285025,Cr6Ta6
-0.90637555,2.2595617470000002,Ta6V6
-0.905587372,1.2321818864999998,Ti6Zr6
-0.905067498,1.3804909264999998,Y6Zr6
-0.903726794,2.2576325895,Hf6Ta6
-0.903549375,1.3365840125,Nb6W6
-0.903475633,1.8882167234999998,Ta6Y6
-0.903139572,1.6711930439999998,Hf6Nb6
-0.902642692,1.4706320019999999,Y12
-0.902072614,1.344796944,V6W6
-0.901478045,1.6142500885,Hf6V6
-0.900437073,1.437836745,Cu6Hf6
-0.900235029,1.1863932515,Ti6V6
-0.897556068,0.9932755839999998,W6Y6
-0.897437562,1.5157707069999997,Hf6La6
-0.897293614,1.4292453315,La6Ti6
-0.896784217,1.4489682014999998,Hf6La6
-0.893312589,1.3178276594999998,Ti6V6
-0.893045237,1.287654866,Ti6Zr6
-0.892379646,1.5485601195000003,Y6Zr6
-0.890908463,2.097073415,Ta6Zr6
-0.889846403,2.427108895,Ta6W6
-0.889286528,1.2905843575000002,Zr12
-0.888731552,1.514643895,Hf6W6
-0.8877548,1.3209829025,Nb6Ti6
-0.88748255,0.4022107905000001,Os6Sc6
-0.886857232,2.219116885,Sc6Ta6
-0.886516818,1.6286286545,La6Ta6
-0.883223832,1.4749839599999999,Nb6Re6
-0.882561779,1.9994488475,Hf6Tc6
-0.882279733,1.2701577485,Ru6Y6
-0.882277692,1.2661121745,Nb6V6
-0.882235243,1.6713135515000002,Hf6Nb6
-0.882166534,2.1829184155,Nb6Ta6
-0.882114424,1.479800617,Ti6W6
-0.880877531,2.147686599,Ru6Y6
-0.880356841,1.015080951,Mo6Sc6
-0.880356841,1.015080951,Mo6Sc6
-0.880356841,1.015080951,Mo6Sc6
-0.879774517,1.3445024605,La6Zr6
-0.879511383,1.5265849795,W12
-0.87913505,1.2479871995,La6Zr6
-0.878866745,1.0363588935,Cr6V6
-0.878578305,1.0170385845,Cr12
-0.877677744,1.5584673575,Ti6Y6
-0.877451345,1.0169743145,Cr12
-0.877374473,1.4581453695,Nb6Zr6
-0.877052018,1.3537606465,Cr6Nb6
-0.874400269,2.4271084745,Ta6W6
-0.873487191,1.2683819674999999,Nb12
-0.873371679,1.2855208215,Nb6V6
-0.872307033,1.4541794995,Nb6Sc6
-0.872222406,1.7236455199999998,La6Mo6
-0.87168743,1.735253469,Mo6Zr6
-0.870364004,1.3501075815,Mo6Zr6
-0.869518547,2.0558832115,Hf6Mo6
-0.868031989,2.4567861085000002,Re6Ta6
-0.867350071,2.181356898,Ta6Zr6
-0.86722694,1.2350642390000002,Sc6W6
-0.866000931,1.6209574924999997,Tc6Y6
-0.865465411,1.1941873255,Mo6V6
-0.863439932,1.527052425,W12
-0.862350524,1.0331612264999999,Mo6Ti6
-0.862257461,1.6286286545,La6Ta6
-0.86205841,1.9476772154999997,Cr6Ti6
-0.861169278,1.4798752385,Ti6W6
-0.860625594,1.333750003,Mo6Ti6
-0.859307339,1.5383974215,Sc6V6
-0.859018082,0.8311584755000001,La6Mo6
-0.858848691,0.828500632,Cr6Ti6
-0.858490181,1.33555462,Nb6Y6
-0.857171789,1.6286286545,La6Ta6
-0.856917635,0.9611985065,Sc6V6
-0.856675998,1.3328509865,Ti6Y6
-0.856283338,1.0379518314999998,La6W6
-0.854621266,2.3545271380000004,Ta6Y6
-0.854151054,1.2206745245,V6W6
-0.853766285,1.8503751085000002,Hf6W6
-0.852662591,1.1547367775,Cr6V6
-0.851386377,2.379233576,Cd6Ta6
-0.851336308,1.128798826,Mo6Nb6
-0.850539559,2.10136745,Ta6V6
-0.85028935,0.671164332,La6Re6
-0.850113292,0.09665529149999996,Fe6Hf6
-0.849589473,1.732629631,Cd6Hf6
-0.848195706,0.3932409875,Ir6La6
-0.846777041,1.3849151745000001,La6Y6
-0.844618362,1.1050424665,La6Nb6
-0.843988282,1.0379518314999998,La6W6
-0.843196295,1.1990239735000001,Nb6Ti6
-0.842482132,2.0558350864999997,Hf6Mo6
-0.842089063,1.3448869724999999,V6W6
-0.841050949,2.1302521825,Nb6Ta6
-0.840314337,0.5562599605,Sc6Tc6
-0.840083584,1.3766696285000002,La6Sc6
-0.839880043,1.6263392165000001,Ru6Zr6
-0.839600446,1.1050424665,La6Nb6
-0.839274862,1.4541505620000001,Nb6Sc6
-0.839167513,1.2052429795,Nb6Sc6
-0.839070505,1.3941306224999999,Sc6Y6
-0.838457568,1.479093458,Mn6Ta6
-0.834921449,0.7330119694999999,Mo6Y6
-0.832894473,1.1495840055,Hf6V6
-0.831582612,1.3336449690000003,Mo6Ti6
-0.831015935,1.1508289665,Mo6Y6
-0.829805845,0.9449823755000001,Cr6Hf6
-0.829805845,0.9449823755000001,Cr6Hf6
-0.829805845,0.9449823755000001,Cr6Hf6
-0.828577387,1.4241309679999998,Hf6Nb6
-0.828113977,1.176274763,Hf6Pd6
-0.828095745,1.3684187145,Tc6Ti6
-0.828079282,1.3443068875,La6Zr6
-0.827840911,1.8538837594999997,Sc6Tc6
-0.826637759,1.3119345584999997,Nb6Zr6
-0.825813663,1.154742116,Cr6V6
-0.825671347,1.8760811635000003,Ru6Sc6
-0.824627927,1.579691562,Hf6La6
-0.823802197,1.1050424665,La6Nb6
-0.823455796,1.5146571815,Hf6W6
-0.823118103,2.288221576,Ta6Zn6
-0.823058782,1.22079337,V6W6
-0.823022455,1.0363420615,Cr6V6
-0.821631409,1.2441203985,Ti6W6
-0.821534673,1.579691562,Hf6La6
-0.820911804,1.6341587475,Hf6Sc6
-0.820766223,1.0880779595,Sc6Ti6
-0.818570536,1.5452013585000002,Cd6W6
-0.814777134,1.3699755715000002,W6Zr6
-0.813385135,1.4580862260000003,Nb6Zr6
-0.813258466,1.5381585459999998,Sc6V6
-0.811387547,1.2727340875000002,Mo6Nb6
-0.811296389,1.591617249,La6Ru6
-0.810493654,1.2661294575,Nb6V6
-0.810290929,2.239238601,Ta6W6
-0.809907112,1.4263298335,Nb6W6
-0.80921431,2.3792984365,Mo6Ta6
-0.808861243,1.1941051435000003,Mo6V6
-0.808410486,1.8503524005,Hf6W6
-0.80731033,1.5157063140000002,Hf6La6
-0.806221602,0.8472960405,Cr6Zr6
-0.805068656,2.0543421435000004,Hf6Ru6
-0.8045896,1.5934436330000001,Sc6W6
-0.804308914,2.354585579,Ta6Y6
-0.80261691,1.0351146290000002,V6Zr6
-0.802574869,2.1112840295,Ta6Y6
-0.802408607,1.515629334,Re6W6
-0.802010777,1.2775248015,Ag6Y6
-0.801872135,1.1126454855,La6Ti6
-0.801564782,1.2607308229999998,Co6Sc6
-0.801564782,1.2607308229999998,Co6Sc6
-0.801564782,1.2607308229999998,Co6Sc6
-0.800465306,-0.05910358300000018,Cu6Zr6
-0.800375917,1.243122787,Re6V6
-0.800164212,1.2476463629999999,Nb6Tc6
-0.799880534,1.4326402545,La6Zr6
-0.79881031,1.0016278525,Mo6V6
-0.797759406,-0.28657434700000006,Fe6Y6
-0.797706072,-0.9433866709999998,Ti6Zn6
-0.797569062,1.3365684185,Nb6W6
-0.797366066,1.015695331,Mo6Sc6
-0.797366066,1.015695331,Mo6Sc6
-0.797366066,1.015695331,Mo6Sc6
-0.796350129,1.5907178799999997,W6Zr6
-0.796087539,1.6397178014999998,Nb6Y6
-0.789961848,1.3579163435,La6Y6
-0.789149588,1.4473234575,Cd6Zr6
-0.788627266,-7.8058566865,Cd6Zr6
-0.788540189,1.7583507555,Ag6Hf6
-0.787843034,-3.7731610735,Ag6Hf6
-0.787398264,1.3850708975,La6Y6
-0.786631855,1.0760315315,Hf6Mo6
-0.78648573,1.573420875,Hf6Mo6
-0.784445556,1.893876731,Ta6V6
-0.783710849,1.2729777265000002,Mo6Nb6
-0.783401319,1.5904162745000001,W6Zr6
-0.7821598,1.9878745215,Cr6Ta6
-0.780744944,0.441457204,Ru6Y6
-0.780096769,1.2182064449999999,Y6Zr6
-0.77957295,1.3447348925,La6Sc6
-0.779357708,0.9624574284999998,Hf6Re6
-0.778274014,1.0271893245,Cr6Mo6
-0.778052514,-0.09502535550000002,Fe6Zr6
-0.776159282,0.969391004,Ag6Sc6
-0.775222258,0.5214117209999999,Ir6Sc6
-0.77505069,1.5416328545,Au6Hf6
-0.7747315,1.2492527515,Mo12
-0.774350541,1.09853985,Cd6Ti6
-0.773181948,2.0591372359999998,Ta6W6
-0.773127525,2.1780025385,Ta6Tc6
-0.770378631,1.5274230580000001,W6Zn6
-0.76972583,1.2406102235,Ru6Ti6
-0.769570453,1.5932391970000002,Sc6W6
-0.76906092,0.8198653065000001,Re6Zr6
-0.768699145,1.5865793615000001,Cr6Ta6
-0.767018298,1.308740843,Mo6Re6
-0.766593256,1.2656035204999998,Mo6W6
-0.765718818,0.9823181655,Mo6Zr6
-0.764454713,2.1542790075,Mo6Zr6
-0.764267499,1.325831234,Co6Y6
-0.764157565,0.660258792,Hf6Ni6
-0.762607877,0.7030737595,Ir6Y6
-0.762381614,2.0844777415,Mo6Ta6
-0.762329504,1.515315559,Re6W6
-0.762216713,1.358040215,La6Y6
-0.762061472,0.6227953770000001,Mn6Nb6
-0.761705547,0.2350733359999999,Ru6Sc6
-0.761360779,1.3764140884999998,La6Sc6
