 d-Band Center and Width,Adsorption Energy, Surface
2.894891372,0.439420039,Ta12
1.52658498,0.561387312,W12
1.268381967,0.728154183,Nb12
1.141165849,0.88328084,V12
1.833424014,0.950402208,Hf12
1.017038585,0.977673185,Cr12
1.249252752,1.083346689,Mo12
1.290815509,1.262184122,Zr12
1.180552989,1.288465013,Ti12
1.21441805,1.382594223,Re12
0.788634827,1.396295019,Tc12
1.370656504,1.560266056,Sc12
0.454357761,1.59930963,Ru12
0.778718708,1.677095004,Os12
1.470632002,1.796520869,Y12
1.278635883,1.839902482,La12
-1.224288597,1.88966081,Ir12
-0.096429899,1.926347062,Rh12
-0.752864816,2.106999494,Co12
-1.193618169,2.222465831,Pt12
-0.948184009,2.504732645,Pd12
-1.824080407,4.110073135,Cu12
-6.904137429,4.489099412,Zn12
-2.536161554,4.7414235,Au12
-8.380976285,5.363709208,Cd12
-3.47273826,5.608978745,Ag12
