Adsorption Energy, d-Band Center and Width, Surface
-3.751788326,1.3706565035,Sc12
-3.730901957,1.8331257905,Hf12
-3.648769292,1.4706320019999999,Y12
-3.455084921,1.180560866,Ti12
-3.425847785,1.2905843575000002,Zr12
-3.260459443,2.894891372,Ta12
-3.230985841,1.141165849,V12
-3.004750532,1.2784965505,La12
-2.982999248,1.2686081495000003,Nb12
-2.500851622,1.0169743145,Cr12
-2.198106472,1.527052425,W12
-2.116413272,1.2488817254999998,Mo12
-1.287207166,0.7886348274999999,Tc12
-1.20893607,1.2144180504999997,Re12
-0.376089897,0.4543577605000002,Ru12
-0.253032128,-0.752864816,Co12
-0.129969325,0.7787187079999998,Os12
0.078724574,-6.904157490499999,Zn12
0.595410113,-0.09643262000000008,Rh12
0.750792558,-1.224522817,Ir12
0.815140814,-1.8240804069999998,Cu12
0.904440412,-8.380976285000001,Cd12
1.359148895,-0.9483044424999999,Pd12
1.417018665,-1.1936181694999997,Pt12
1.961799686,-3.47273826,Ag12
2.415031951,-2.536161554,Au12
