Adsorption Energy, d-Band Center and Width, Surface
-0.739253298,1.1180075795,Hf6Pt6
-0.640233657,1.2203100705,Pt6Ta6
-0.621889647,0.9063574119999999,Pt6Zr6
-0.596738437,0.8998703530000001,Pt6W6
-0.590736422,0.18812560550000001,Nb6Pt6
-0.52795078,-0.03358623399999994,Pt6V6
-0.470261149,-0.051089496999999984,Mo6Pt6
-0.467562597,-0.042172772500000066,Pt6Ti6
-0.432063169,-0.17111577550000012,Cr6Pt6
-0.407946808,0.6058563749999999,Pt6Re6
-0.401255121,1.4456741789999998,Pt6Y6
-0.38702003,-0.9508061655,Ir6Pt6
-0.340017534,-0.9093330895000001,Ag6Pt6
-0.317942435,-0.1561264309999999,Pt6Tc6
-0.314158556,-0.050027118499999856,Pt6Sc6
-0.312314032,-1.1936776980000001,Pt12
-0.309796707,-1.0766580669999999,Cu6Pt6
-0.308441036,0.10103911249999986,Os6Pt6
-0.306656241,-1.091057787,Pd6Pt6
-0.291889984,-0.553257259,Pt6Rh6
-0.284464542,-1.090264812,Ni6Pt6
-0.262794756,-0.3653460525000001,Pt6Ru6
-0.250679296,-1.0607160709999999,Cd6Pt6
-0.247521278,-0.8872218755000001,Au6Pt6
-0.226542254,-1.1854802640000002,Co6Pt6
-0.207741637,-0.4340846429999998,La6Pt6
-0.184417263,-1.2452731325,Pt6Zn6
-0.153773571,-0.957651613,Hg6Pt6
0.079090568,-1.3516949065,Fe6Pt6
