Psi, Adsorption Energy, Surface
16.666666666666668,-1.019672595,Ta12
10.38961038961039,-1.01043746,Ti12
6.617647058823529,-1.003077461,Sc12
12.307692307692307,-0.996874898,Hf12
15.337423312883436,-0.99566059,V12
12.030075187969924,-0.992339168,Zr12
16.666666666666664,-0.989087,Mo12
7.377049180327869,-0.970131958,Y12
15.625,-0.943553103,Nb12
15.254237288135593,-0.879511383,W12
21.686746987951807,-0.878578305,Cr12
8.181818181818182,-0.687573846,La12
25.789473684210527,-0.559478978,Tc12
25.789473684210527,-0.511985045,Re12
43.08510638297873,-0.448717897,Co12
29.09090909090909,-0.411165643,Ru12
36.81818181818181,-0.324119827,Ir12
43.85964912280702,-0.312314032,Pt12
45.45454545454545,-0.289728039,Pd12
35.526315789473685,-0.284275014,Rh12
29.09090909090909,-0.258513453,Os12
63.684210526315795,-0.053560439,Cu12
75.92215242171719,0.322403197,Au12
87.09770584059203,0.338155323,Ag12
87.27272727272728,0.552737221,Zn12
85.20710059171599,0.825439234,Cd12
