surface,site,reaction energy (eV),reaction energy difference (eV),absolute reaction energy difference (eV)
Cu12,hollow|A_A_A|FCC,4.110073135,0,0
Au6Co6,top|B,4.107061106,-0.003012029000001,0.003012029000001
Rh6Tc6,top|A,4.120875238,0.010802103,0.010802103
Fe6Hg6,top|A,4.123640322,0.013567187,0.013567187
Ag6Cu6,bridge|B_B|A,4.134827194,0.024754058999999,0.024754058999999
Pt12,top|A,4.140889346,0.030816211,0.030816211
Hf6Hg6,hollow|A_B_B|HCP,4.078481398,-0.031591737,0.031591737
W12,top|A,4.075780532,-0.034292603000001,0.034292603000001
Au6Mn6,bridge|B_B|A,4.14713572,0.037062584999999,0.037062584999999
Au6Zn6,bridge|B_B|A,4.147175856,0.037102720999999,0.037102720999999
Au6Pd6,hollow|A_A_B|HCP,4.071214462,-0.038858673,0.038858673
Ag6Ni6,hollow-tilt|A_A_B|HCP,4.149397938,0.039324803,0.039324803
Ag6Pt6,hollow-tilt|A_A_B|HCP,4.070313629,-0.039759506,0.039759506
Ni6Zn6,hollow|A_B_B|HCP,4.152801946,0.042728811,0.042728811
Au6Re6,hollow|A_A_B|FCC,4.063611601,-0.046461534000001,0.046461534000001
Ag6Pt6,hollow|A_A_B|FCC,4.062552534,-0.047520601000001,0.047520601000001
Hg6Ti6,hollow|A_A_B|HCP,4.058527699,-0.051545436000001,0.051545436000001
Cu12,hollow|A_A_A|HCP,4.163048937,0.052975802,0.052975802
Ag6Ni6,hollow-tilt|A_A_B|FCC,4.164549237,0.054476102,0.054476102
Cr6W6,top|B,4.173729405,0.063656269999999,0.063656269999999
La6Rh6,4fold|A_A_B_B,4.178295475,0.068222339999999,0.068222339999999
Nb12,top|A,4.033442748,-0.076630387000001,0.076630387000001
Re12,top|A,4.02485606,-0.085217075,0.085217075
Mo6Tc6,top|A,4.199358039,0.089284904,0.089284904
Mn6Pt6,hollow|A_A_B|FCC,4.211434587,0.101361452,0.101361452
Cu6Pt6,top|B,4.212212697,0.102139562,0.102139562
Tc6W6,top|B,4.002725722,-0.107347413,0.107347413
Mo12,top|A,4.001872917,-0.108200218,0.108200218
Co12,top|A,3.999846213,-0.110226922,0.110226922
Pd6Pt6,top|B,3.9912949,-0.118778235000001,0.118778235000001
Au6Pd6,hollow|A_A_B|FCC,3.982553379,-0.127519756,0.127519756
Cd6Pd6,bridge|B_B|A,4.242661011,0.132587876,0.132587876
Cu6Zn6,bridge|A_A|B,4.243781575,0.133708439999999,0.133708439999999
Ta12,top|A,4.260301334,0.150228199,0.150228199
Ag6Zn6,bridge|B_B|A,3.950400135,-0.159673,0.159673
Hf6Ir6,top|B,4.271978011,0.161904875999999,0.161904875999999
Cd6Co6,hollow-tilt|A_A_B|FCC,3.946202099,-0.163871036,0.163871036
Ag6Os6,hollow-tilt|A_A_B|FCC,3.930431878,-0.179641257,0.179641257
Pt6Zn6,hollow|A_B_B|FCC,4.292272534,0.182199399,0.182199399
Cr6Re6,top|A,3.920796871,-0.189276264,0.189276264
Au6Tc6,hollow-tilt|A_A_B|FCC,3.908092148,-0.201980987,0.201980987
Ir6Pt6,top|B,4.317716402,0.207643267,0.207643267
Re6Tc6,top|B,3.90022901,-0.209844125,0.209844125
Ag6Os6,top|B,3.875474542,-0.234598593,0.234598593
Au6Ni6,hollow|A_A_B|HCP,3.872778711,-0.237294424,0.237294424
Mn6Pt6,bridge|A_A|B,4.357380667,0.247307532,0.247307532
Co6Pt6,top|B,4.365008018,0.254934883,0.254934883
Hf6Hg6,hollow|A_B_B|FCC,3.854677426,-0.255395709,0.255395709
Au6Ni6,hollow|A_A_B|FCC,3.846388566,-0.263684569,0.263684569
Zr12,top|A,4.374206827,0.264133692,0.264133692
Ir6Tc6,top|A,3.842028622,-0.268044513,0.268044513
Pt6Y6,bridge|B_B|A,3.831840136,-0.278232999,0.278232999
La6Rh6,top|B,3.831129919,-0.278943216,0.278943216
Au6Cu6,bridge|B_B|A,4.393660381,0.283587246,0.283587246
Ag6Hf6,hollow|A_A_B|HCP,3.821319126,-0.288754009,0.288754009
Hg6Zr6,hollow|A_A_B|FCC,3.821288514,-0.288784621,0.288784621
Re6Tc6,top|A,3.815831543,-0.294241592000001,0.294241592000001
Hf12,top|A,4.407675196,0.297602060999999,0.297602060999999
Ti12,top|A,3.803851867,-0.306221268,0.306221268
Mn6Pd6,bridge|A_A|B,4.422950306,0.312877170999999,0.312877170999999
Mo6Pt6,bridge|B_B|A,3.790806321,-0.319266814000001,0.319266814000001
Cd6Ni6,hollow-tilt|A_A_B|FCC,4.430241461,0.320168325999999,0.320168325999999
Ag6Zr6,hollow|A_A_B|HCP,3.787972936,-0.322100199,0.322100199
Au6Ti6,hollow|A_A_B|HCP,3.786971965,-0.32310117,0.32310117
Tc6V6,top|B,4.436308375,0.32623524,0.32623524
Cd6Pt6,hollow-tilt|A_A_B|FCC,4.436984986,0.326911850999999,0.326911850999999
Au6Pt6,hollow|A_A_B|HCP,3.771930465,-0.33814267,0.33814267
Au6Fe6,hollow|A_A_B|HCP,3.770444179,-0.339628956,0.339628956
Co6Zn6,hollow|A_B_B|FCC,3.754501709,-0.355571426,0.355571426
Cr6Tc6,top|A,3.750634428,-0.359438707,0.359438707
Hg6Ti6,hollow-tilt|A_A_B|FCC,3.741416299,-0.368656836,0.368656836
Hg6Ti6,hollow|A_A_B|FCC,3.741125818,-0.368947317,0.368947317
Ag6Co6,hollow-tilt|A_A_B|FCC,3.734145826,-0.375927309000001,0.375927309000001
Zn12,hollow|A_A_A|FCC,4.489099412,0.379026276999999,0.379026276999999
Tc6W6,top|A,3.728585043,-0.381488092000001,0.381488092000001
Ag6Ti6,hollow|A_A_B|HCP,3.727911697,-0.382161438,0.382161438
Rh12,top|A,3.724234623,-0.385838512,0.385838512
Tc12,top|A,3.723349165,-0.38672397,0.38672397
Au6Co6,hollow-tilt|A_A_B|HCP,3.721917574,-0.388155561,0.388155561
Pt6Zn6,bridge|A_A|B,3.721765734,-0.388307401,0.388307401
Cd6Hf6,hollow|A_A_B|HCP,3.721574302,-0.388498833,0.388498833
Cd6Zr6,hollow|A_A_B|HCP,3.707546154,-0.402526981,0.402526981
Pt6Zn6,hollow|A_A_B|FCC,3.705253186,-0.404819949,0.404819949
Pd6Zn6,hollow|A_A_B|HCP,4.518392875,0.40831974,0.40831974
Ag6Co6,hollow-tilt|A_A_B|HCP,3.700240033,-0.409833102,0.409833102
Os12,top|A,3.698386258,-0.411686877,0.411686877
Ag6Hf6,hollow|A_A_B|FCC,3.696152203,-0.413920932,0.413920932
Pt6Zn6,hollow|A_A_B|HCP,3.694731361,-0.415341774,0.415341774
Au6Co6,hollow|A_A_B|FCC,3.692672275,-0.41740086,0.41740086
Pd6Zn6,hollow|A_A_B|FCC,4.530551329,0.420478193999999,0.420478193999999
Cd6Fe6,hollow-tilt|A_A_B|FCC,3.682758896,-0.427314239,0.427314239
Mn6Pd6,hollow|A_A_B|FCC,4.53822562,0.428152485,0.428152485
Cr6Ir6,top|B,3.681202269,-0.428870866,0.428870866
Cr6W6,top|A,3.68093655,-0.429136585,0.429136585
Ag6Pd6,hollow|A_A_B|FCC,4.541566089,0.431492953999999,0.431492953999999
Sc12,top|A,4.55285514,0.442782005,0.442782005
Cd6Ti6,hollow|A_A_B|HCP,3.665469327,-0.444603808,0.444603808
Au6Fe6,hollow|A_A_B|FCC,3.663073909,-0.446999226,0.446999226
Au6Pt6,hollow|A_A_B|FCC,3.655307235,-0.4547659,0.4547659
Ag6Zr6,hollow|A_A_B|FCC,3.650004009,-0.460069126000001,0.460069126000001
Hg6Ni6,hollow-tilt|A_A_B|FCC,4.571704602,0.461631467,0.461631467
Mo6Tc6,top|B,3.643132046,-0.466941089000001,0.466941089000001
Au6Cd6,bridge|A_A|B,4.577755189,0.467682054,0.467682054
Co6Zn6,hollow|A_B_B|HCP,3.641166704,-0.468906431,0.468906431
Cr12,top|A,3.640320566,-0.469752569,0.469752569
Ir6Os6,bridge|A_A|B,3.637818479,-0.472254656000001,0.472254656000001
Pd6Zn6,bridge|A_A|B,4.590125348,0.480052213,0.480052213
Hg6Ta6,hollow|A_A_B|FCC,3.629189341,-0.480883794,0.480883794
Cd6Fe6,hollow-tilt|A_A_B|HCP,3.628797225,-0.48127591,0.48127591
Cd6Cu6,bridge|B_B|A,3.628236398,-0.481836737,0.481836737
Ag6Mn6,bridge|B_B|A,3.62682576,-0.483247375,0.483247375
Au6Ti6,hollow|A_A_B|FCC,3.62321685,-0.486856285,0.486856285
Ag6Pd6,hollow|A_A_B|HCP,4.602759457,0.492686322,0.492686322
Cd6Zn6,hollow|A_B_B|HCP,3.616090733,-0.493982402,0.493982402
Hg6Nb6,hollow-tilt|A_A_B|FCC,3.614289204,-0.495783931,0.495783931
Cu6Zn6,hollow|A_B_B|FCC,4.617135096,0.507061961,0.507061961
V12,top|A,3.602374699,-0.507698436,0.507698436
Au6Ta6,hollow|A_A_B|HCP,3.598553405,-0.51151973,0.51151973
Cd6Hf6,hollow|A_A_B|FCC,3.592888539,-0.517184596,0.517184596
Cr6Tc6,top|B,3.586917817,-0.523155318000001,0.523155318000001
Cr6Ru6,top|B,3.575362231,-0.534710904,0.534710904
Ru12,top|A,3.567144257,-0.542928878000001,0.542928878000001
Cu6Pt6,hollow|A_A_B|HCP,3.555957248,-0.554115887000001,0.554115887000001
Pt6Sc6,bridge|B_B|A,3.550123672,-0.559949463000001,0.559949463000001
Ag6Fe6,hollow-tilt|A_A_B|HCP,3.546400474,-0.563672661,0.563672661
Cu6Ni6,hollow|A_A_B|HCP,3.544645748,-0.565427387000001,0.565427387000001
Ag6Fe6,hollow-tilt|A_A_B|FCC,3.543872401,-0.566200734000001,0.566200734000001
Ag6Rh6,hollow|A_A_B|FCC,3.538365089,-0.571708046,0.571708046
Tc6V6,top|A,3.535656196,-0.574416939,0.574416939
Cu6Ni6,hollow|A_A_B|FCC,3.531879392,-0.578193743,0.578193743
Cd6Zr6,hollow|A_A_B|FCC,3.528702871,-0.581370264,0.581370264
Au6Cu6,hollow|A_A_B|FCC,4.695627013,0.585553878,0.585553878
Cu6Zr6,top|A,4.712566371,0.602493236,0.602493236
Cr6Os6,top|B,3.506645187,-0.603427948,0.603427948
Cr6Re6,top|B,3.503187164,-0.606885971000001,0.606885971000001
