"surface","site","reaction energy (eV)","reaction energy difference (eV)","absolute reaction energy difference (eV)"
"Pt12","hollow|A_A_A|FCC",1.417018665,0,0
"Cd6Rh6","bridge|A_B|A",1.417697589,0.000678924,0.000678924
"Pd6Pt6","hollow|A_B_B|HCP",1.421541197,0.004522532,0.004522532
"Cd6Pt6","hollow|A_A_B|FCC",1.4217012,0.004682535,0.004682535
"Fe6Ir6","top|B",1.423577697,0.006559032,0.006559032
"Mn6Rh6","4fold|A_A_B_B",1.408094692,-0.008923973,0.008923973
"Au6Cd6","hollow|A_B_B|FCC",1.437884218,0.020865553,0.020865553
"Cu6Pd6","hollow|A_B_B|FCC",1.391305676,-0.025712989,0.025712989
"Ir6Pt6","top|A",1.448100868,0.031082203,0.031082203
"Ir6Pt6","hollow|A_B_B|HCP",1.452903405,0.03588474,0.03588474
"Fe6Rh6","4fold|A_A_B_B",1.456231902,0.039213237,0.039213237
"Au6Cd6","hollow|A_B_B|HCP",1.460941784,0.043923119,0.043923119
"Au6Cu6","hollow|A_B_B|HCP",1.463114069,0.046095404,0.046095404
"Au6Cu6","hollow|A_B_B|FCC",1.365880039,-0.051138626,0.051138626
"Cd6Pd6","hollow|A_A_B|FCC",1.471312042,0.054293377,0.054293377
"Pd12","hollow|A_A_A|FCC",1.359148895,-0.05786977,0.05786977
"Co6Ir6","top|B",1.358237858,-0.058780807,0.058780807
"Au6Co6","top-tilt|B",1.357766285,-0.05925238,0.05925238
"Pt6Zn6","hollow|A_A_B|HCP",1.478088085,0.06106942,0.06106942
"Cu6Hg6","hollow-tilt|A_B_B|FCC",1.483095796,0.066077131,0.066077131
"Cd6Ir6","hollow|A_A_B|FCC",1.347396707,-0.069621958,0.069621958
"Pd6Zn6","hollow|A_A_B|FCC",1.487436148,0.070417483,0.070417483
"Ag6Rh6","hollow-tilt|A_A_B|HCP",1.345236803,-0.071781862,0.071781862
"Ag6Pt6","hollow|A_B_B|FCC",1.338576953,-0.078441712,0.078441712
"Pd12","hollow|A_A_A|HCP",1.499089559,0.082070894,0.082070894
"Co6Pt6","top|A",1.49989039,0.082871725,0.082871725
"Cu6Pt6","hollow|A_A_B|HCP",1.500481694,0.083463029,0.083463029
"Co12","top|A",1.332403778,-0.084614887,0.084614887
"Pd6Pt6","hollow|A_A_B|FCC",1.327520423,-0.089498242,0.089498242
"Au6Co6","top|B",1.327002455,-0.09001621,0.09001621
"Pt6Rh6","hollow|A_A_B|HCP",1.320820709,-0.096197956,0.096197956
"Fe6Pt6","top|A",1.319028159,-0.097990506,0.097990506
"Ag6Cu6","hollow|A_A_B|FCC",1.516266065,0.0992474,0.0992474
"Fe6Rh6","hollow|A_B_B|HCP",1.291708746,-0.125309919,0.125309919
"Au6Co6","hollow-tilt|A_A_B|FCC",1.289035091,-0.127983574,0.127983574
"Co6Rh6","top|A",1.285948912,-0.131069753,0.131069753
"Ag6Rh6","hollow|A_A_B|FCC",1.549536608,0.132517943,0.132517943
"Cu6Pt6","hollow|A_B_B|FCC",1.273132622,-0.143886043,0.143886043
"Pd6Pt6","hollow|A_B_B|FCC",1.272994797,-0.144023868,0.144023868
"Ag6Pt6","hollow|A_B_B|HCP",1.267181493,-0.149837172,0.149837172
"Au6Ni6","hollow|A_A_B|FCC",1.573821407,0.156802742,0.156802742
"Ag6Pd6","hollow|A_B_B|FCC",1.575832873,0.158814208,0.158814208
"Cd6Hg6","hollow|A_A_B|FCC",1.253113887,-0.163904778,0.163904778
"Ag6Pd6","hollow|A_B_B|HCP",1.581738015,0.16471935,0.16471935
"Au6Ir6","top|B",1.581751213,0.164732548,0.164732548
"Au6Zn6","hollow|A_A_B|FCC",1.583280901,0.166262236,0.166262236
"Ag6Cd6","hollow|A_B_B|FCC",1.246558937,-0.170459728,0.170459728
"Cd6Rh6","hollow|A_A_B|FCC",1.235581049,-0.181437616,0.181437616
"Ir12","top|A",1.610636505,0.19361784,0.19361784
"Cu6Pt6","hollow|A_B_B|HCP",1.21518911,-0.201829555,0.201829555
"Ag6Ni6","hollow-tilt|A_A_B|FCC",1.214890465,-0.2021282,0.2021282
"Co6Pd6","top|A",1.212888115,-0.20413055,0.20413055
"Ag6Ir6","hollow-tilt|A_A_B|HCP",1.212680492,-0.204338173,0.204338173
"Cu6Pd6","bridge|B_B|A",1.6233415,0.206322835,0.206322835
"Ir6Pt6","hollow|A_B_B|FCC",1.204840892,-0.212177773,0.212177773
"Fe6Ir6","top|A",1.199995225,-0.21702344,0.21702344
"Cd6Rh6","4fold|A_A_B_B",1.637444072,0.220425407,0.220425407
"Ag6Cu6","hollow|A_A_B|HCP",1.639051312,0.222032647,0.222032647
"Ir6Zn6","bridge|A_B|B",1.187708877,-0.229309788,0.229309788
"Ir6Zn6","bridge|A_B|A",1.185794693,-0.231223972,0.231223972
"Au6Ru6","top-tilt|B",1.649216261,0.232197596,0.232197596
"Au6Ru6","top|B",1.649569737,0.232551072,0.232551072
"Co6Os6","top|A",1.652553737,0.235535072,0.235535072
"Cd6Pt6","hollow|A_B_B|FCC",1.652899457,0.235880792,0.235880792
"Co6Fe6","hollow|A_B_B|HCP",1.174589589,-0.242429076,0.242429076
"Pt6Zn6","hollow|A_A_B|FCC",1.660256055,0.24323739,0.24323739
"Pd6Pt6","hollow|A_A_B|HCP",1.662506845,0.24548818,0.24548818
"Cu6Pt6","hollow|A_A_B|FCC",1.170693735,-0.24632493,0.24632493
"Au6Pt6","hollow|A_B_B|FCC",1.678456389,0.261437724,0.261437724
"Ir6Pd6","hollow|A_B_B|FCC",1.151707128,-0.265311537,0.265311537
"Pt6Rh6","hollow|A_A_B|FCC",1.151625494,-0.265393171,0.265393171
"Ag6Pd6","bridge|B_B|A",1.684438676,0.267420011,0.267420011
"Mn6Ni6","4fold|A_A_B_B",1.149198374,-0.267820291,0.267820291
"Cd6Pt6","hollow|A_B_B|HCP",1.685431483,0.268412818,0.268412818
"Co6Pt6","hollow|A_B_B|FCC",1.147464873,-0.269553792,0.269553792
"Au6Cd6","hollow|A_A_B|FCC",1.688520519,0.271501854,0.271501854
"Pd6Rh6","hollow|A_A_B|HCP",1.145140749,-0.271877916,0.271877916
