Psi, d-Band_Center, Surface
12.307692307692307,-0.701824371,Hf6Pt6
12.030075187969924,-0.630333031,Pt6Zr6
8.181818181818182,-1.025411942,La6Pt6
23.01022599305774,-0.980224874,Pt6Ta6
12.430562601286985,-1.464360081,Pt6Sc6
7.377049180327869,-0.226290166,Pt6Y6
22.041191524984278,-1.602730552,Nb6Pt6
21.769911014446514,-1.531847072,Pt6V6
21.691123624189842,-1.936024845,Pt6W6
23.01022599305773,-1.783227538,Mo6Pt6
27.42529616155214,-1.62229792,Cr6Pt6
30.783408372589548,-1.990463705,Pt6Re6
16.79143807684989,-1.513096076,Pt6Ti6
30.783408372589548,-1.798050188,Pt6Tc6
36.81818181818181,-2.028919459,Ir6Pt6
43.85964912280702,-1.728603472,Ag6Pt6
43.85964912280702,-2.154847642,Pt12
43.85964912280702,-1.988757406,Cu6Pt6
29.09090909090909,-1.688657118,Os6Pt6
44.38496431604935,-1.913901403,Pd6Pt6
38.111423076538046,-1.85833638,Pt6Rh6
49.355187504464475,-1.629000443,Ni6Pt6
33.35748093184907,-1.874432401,Pt6Ru6
43.85964912280702,-1.893255884,Cd6Pt6
43.85964912280702,-1.754892925,Au6Pt6
43.34175545519327,-1.919339321,Co6Pt6
43.85964912280702,-2.165085366,Pt6Zn6
43.85964912280702,-1.794970092,Hg6Pt6
37.71443800187958,-1.875618423,Fe6Pt6
35.258565493376366,-1.484942968,Mn6Pt6
