SE,Adsorption Energy,SE,Adsorption Energy,SE,Adsorption Energy
,eV,,eV,,eV
,Monometallic TMs,Cu alloys,,Pt alloys,
266.3,1.961799686,313.1,0.8444162,428.7666667,1.267181493
342.5,2.415031951,322.9,1.36588,454.1666667,1.678456389
106.3,0.904440412,313.1,0.515539,240.8666667,1.4217012
391.2,-0.253032128,365.16667,-0.097795,430.8,0.425774074
359.5,-2.500851622,344.03333,-1.646489,409.6666667,-1.173692702
313.1,0.815140814,313.1,0.8151408,378.7333333,1.170693735
655.5,-3.730901957,344.9,-0.446156,410.5333333,0.231125875
586,0.750792558,655.5,-3.187126,655.5,-2.864514624
406.2,-3.004750532,145.36,1.4830958,210.9933333,2.002607237
636,-2.116413272,495.03333,0.2971933,560.6666667,0.725065691
716.8,-2.982999248,406.2,-2.527907,406.2,-2.123916947
661,-0.129969325,259.83333,0.1759205,325.4666667,1.94565177
396.7,1.359148895,528.36667,-1.416902,594,-1.234992602
510,1.417018665,313.1,-1.84387,647.8666667,-1.705604234
738,-1.20893607,367.83333,0.2353646,433.4666667,0.634917914
516.7,0.595410113,545.03333,-0.22997,610.6666667,0.140297541
605.7,-0.376089897,313.1,1.1334608,472.2333333,1.272994797
334,-3.751788326,378.73333,1.1706937,510,1.417018665
771,-3.260459443,596.36667,-1.007275,662,-0.650947187
573,-1.287207166,448.83333,0.3830545,514.4666667,0.720528056
443.7,-3.455084921,508.16667,-0.099503,573.8,0.214804895
475.8,-3.230985841,327.03333,-2.688223,392.6666667,-1.926026512
835,-2.198106472,313.1,-2.23878,684,-1.946600359
391.4,-3.648769292,486.36667,-0.716399,552,-0.452070339
126.35,0.078724574,400.16667,-2.50973,487.2,-1.624789554
601,-3.425847785,421.56667,-1.872182,726.6666667,-1.399855221
,,835,-1.632361,391.4,-1.907761551
,,391.4,-2.58254,254.2333333,1.023988185
,,188.6,0.6409697,601,-2.558963845
,,601,-2.895955,,
