,Feature,Pearson,Spearman,If spearman is greater
0,LC,0.1587995455412265,0.2740720343748135,1
1,MV,-0.034600377856396594,-0.1305762809088938,1
2,EN,0.06433554489680267,0.1369195889179376,1
3,IE,0.28173026946893587,0.3574439142556597,1
4,EA,0.19139273978644816,0.2066176845925536,1
5,SE,-0.4843980381276002,-0.5093212285667922,1
6,DBC,-0.4978029575979844,-0.5246864644530589,1
7,DBW,-0.3264339598657125,-0.4295431968202182,1
8,DBF,0.3054718194795348,0.27976773421592754,0
9,DOS,-0.3198069779387575,-0.30652046688583245,0
10,WF,0.013074638060587434,0.0976569108001904,1
11,EAC,-0.316535656979756,-0.18136100500245628,0
12,GCN,0.042156693307699986,4.0292556357864536e-05,0
13,VE,0.40699568235207156,0.47163656954200417,1
