surface,LC,MV,EN,SE,DBC,DBF,DOS,CN,GCN,RxnE
Ag12,408.53,10.27,1.93,266.3,-4.003562342,0.987269544,0.001824,1,7.5,0.844867346
Ag12,408.53,10.27,1.93,266.3,-4.003599877,0.987274965,0.001824,2,7.33,0.462215151
Ag12,408.53,10.27,1.93,266.3,-4.003571624,0.98727677,0.001824,3,7.5,0.355347475
Ag12,408.53,10.27,1.93,266.3,-4.003607572,0.987279861,0.001824,3,6.95454545454545,0.338155323
Ag6Au6,408.175,10.24,1.93,266.3,-3.861503572,0.986323798,0.7015,1,7.5,0.970614824
Ag6Au6,408.175,10.24,2.54,342.5,-3.316680333,0.977123367,0.7015,1,7.5,0.508873015
Ag6Au6,408.175,10.24,1.93,266.3,-3.86147665,0.986322895,0.7015,2,7.33,0.319611853
Ag6Au6,408.175,10.24,2.54,342.5,-3.316640452,0.977123434,0.7015,2,7.33,0.319847232
Ag6Au6,408.175,10.24,2.11502795299008,291.7,-3.680201777,0.983260921,0.7015,3,7.5,0.397102664
Ag6Au6,408.175,10.24,2.11502795299008,291.7,-3.680193833,0.983260761,0.7015,3,6.95454545454545,0.347848562
Ag6Au6,408.175,10.24,2.31779442587016,317.1,-3.498581792,0.980193193,0.7015,3,7.5,0.321077867
Ag6Au6,408.175,10.24,2.31779442587016,317.1,-3.498588619,0.980193506,0.7015,3,6.95454545454545,0.319901655
Ag6Cd6,353.235,11.635,1.93,266.3,-4.280719492,0.987097116,8.012,1,7.5,0.879984725
Ag6Cd6,353.235,11.635,1.69,106.3,-8.712204761,0.997180114,8.012,1,7.5,0.971460554
Ag6Cd6,353.235,11.635,1.93,266.3,-4.280716074,0.987096604,8.012,2,7.33,0.57755999
Ag6Cd6,353.235,11.635,1.80601771862847,186.3,-6.500172965,0.992149446,8.012,2,7.33,0.637607623
Ag6Cd6,353.235,11.635,1.80601771862847,186.3,-6.500184975,0.992150343,8.012,2,7.33,0.631048183
Ag6Cd6,353.235,11.635,1.846433938851,212.966666666667,-5.761405546,0.990466635,8.012,3,7.5,0.517986107
Ag6Cd6,353.235,11.635,1.846433938851,212.966666666667,-5.761430733,0.990466643,8.012,3,6.95454545454545,0.532293989
Ag6Cd6,353.235,11.635,1.76648616090197,159.633333333333,-7.238706923,0.99382731,8.012,3,7.5,0.611268228
Ag6Cd6,353.235,11.635,1.76648616090197,159.633333333333,-7.238712871,0.9938279,8.012,3,6.95454545454545,0.622470474
Ag6Co6,329.62,8.47,1.93,266.3,-4.115050533,0.494320593,13.028,1,7.5,0.790869756
Ag6Co6,329.62,8.47,1.93,266.3,-4.115066043,0.494331378,13.028,2,7.33,0.502743378
Ag6Co6,329.62,8.47,1.88,391.2,-1.361185334,0.493111975,13.028,2,7.33,-0.236969792
Ag6Co6,329.62,8.47,1.91318729907483,307.933333333333,-3.20242008,0.493927132,13.028,3,7.5,0.044001488
Ag6Co6,329.62,8.47,1.91318729907483,307.933333333333,-3.202108415,0.493919013,13.028,3,6.95454545454545,0.074852122
Ag6Co6,329.62,8.47,1.91318729907483,307.933333333333,-3.20242008,0.493927132,13.028,3,7.5,0.044630071
Ag6Cu6,385.01,8.69,1.93,266.3,-4.169663289,0.984403123,3.905,1,7.5,0.837703269
