surface,LC,MV,EA,SE,DBC,DBF,DOS,CN,GCN,RxnE
Ag12,408.53,10.27,1.302,266.3,-4.003562342,0.987269544,0.001824,1,7.5,6.984898424
Ag12,408.53,10.27,1.302,266.3,-4.003571624,0.98727677,0.001824,3,7.5,5.667144574
Ag12,408.53,10.27,1.302,266.3,-4.003607572,0.987279861,0.001824,3,6.95454545454545,5.608978745
Ag6Au6,408.175,10.24,1.63754333333333,291.7,-3.680201777,0.983260921,0.7015,3,7.5,5.627318945
Ag6Au6,408.175,10.24,1.63754333333333,291.7,-3.680193833,0.983260761,0.7015,3,6.95454545454545,5.41603289
Ag6Au6,408.175,10.24,1.97308666666667,317.1,-3.498581792,0.980193193,0.7015,3,7.5,4.979302288
Ag6Au6,408.175,10.24,1.97308666666667,317.1,-3.498588619,0.980193506,0.7015,3,6.95454545454545,4.950667341
Ag6Cd6,353.235,11.635,1.302,266.3,-4.280716074,0.987096604,8.012,2,7.33,5.5093195
Ag6Cd6,353.235,11.635,0.434,159.633333333333,-7.238706923,0.99382731,8.012,3,7.5,5.596425589
Ag6Cd6,353.235,11.635,0.434,159.633333333333,-7.238712871,0.9938279,8.012,3,6.95454545454545,5.497811942
Ag6Co6,329.62,8.47,0.662,391.2,-1.361185334,0.493111975,13.028,2,7.33,2.382733535
Ag6Co6,329.62,8.47,1.08866666666667,307.933333333333,-3.202108415,0.493919013,13.028,3,6.95454545454545,3.734145826
Ag6Co6,329.62,8.47,1.08866666666667,307.933333333333,-3.20242008,0.493927132,13.028,3,7.5,3.700240033
Ag6Cr6,349.765,8.75,0.878,328.433333333333,-2.047738123,0.740733119,20.95,3,6.95454545454545,2.507316638
Ag6Cu6,385.01,8.69,1.302,266.3,-4.169663289,0.984403123,3.905,1,7.5,7.020413906
Ag6Cu6,385.01,8.69,1.235,313.1,-2.190629255,0.981300699,3.905,2,7.33,4.134827194
Ag6Cu6,385.01,8.69,1.27966666666667,281.9,-3.509360635,0.983367864,3.905,3,7.5,5.193137914
Ag6Cu6,385.01,8.69,1.27966666666667,281.9,-3.509374146,0.98336803,3.905,3,6.95454545454545,5.078700303
Ag6Fe6,347.59,8.68,0.151,360.8,-1.306345465,0.51277797,10.143,2,7.33,2.467728565
Ag6Fe6,347.59,8.68,0.918333333333333,297.8,-3.345853316,0.502235105,10.143,3,6.95454545454545,3.543872401
Ag6Fe6,347.59,8.68,0.918333333333333,297.8,-3.345988136,0.502235885,10.143,3,7.5,3.546400474
Ag6Hf6,364.085,11.855,0.872666666666667,396.033333333333,-3.528367422,0.84312825,14.21,3,7.5,3.821319126
Ag6Hf6,364.085,11.855,0.872666666666667,396.033333333333,-3.528027406,0.84308148,14.21,3,6.95454545454545,3.696152203
Ag6Hf6,364.085,11.855,0.443333333333333,525.766666666667,-2.11416771,0.662972585,14.21,3,7.5,2.068734574
Ag6Hf6,364.085,11.855,0.443333333333333,525.766666666667,-2.114171519,0.662973004,14.21,3,6.95454545454545,2.212417347
Ag6Hg6,354.515,12.18,0.434,129.76,-5.746453523,0.993298146,4.656,3,6.95454545454545,5.556749351
Ag6Ir6,396.215,9.395,1.5638,586,-1.666928087,0.808669261,21.28,2,7.33,1.744027253
Ag6Ir6,396.215,9.395,1.38926666666667,372.866666666667,-3.095785578,0.927276173,21.28,3,6.95454545454545,3.398978585
