LC,EN,DBW,DBF,DOS,WF,CN,GCN,VE
2.559349917556779860e-02,1.682675533855584882e-01,6.354410518556050103e-02,5.576496650844169761e-02,4.068960329321009983e-02,7.182777712388249691e-02,3.633278596547337980e-01,3.112540939560039938e-02,8.407655606945219073e-01
4.989158094513260200e-02,2.833879885732464854e-01,1.229181872680518012e-01,1.320763360454166868e-01,2.302075866418670097e-02,9.203519443013609413e-02,4.269887439041871180e-01,3.565106789506700125e-02,1.064925568851262216e+00
4.306713657042129939e-02,3.008084638386600007e-01,1.446502380687010869e-01,6.076597126671180044e-02,2.793002171648290011e-02,1.892911167870927891e-01,3.011704757329787263e-01,4.922335258269679853e-02,8.725619287015218273e-01
5.283014612540810201e-02,2.351612320136056977e-01,1.235019727225295932e-01,1.139138511412334936e-01,3.823121973634090176e-02,1.392654588475049082e-01,3.472387915196419872e-01,3.198719814165280201e-02,8.886315882340392047e-01
5.609853017964799848e-02,3.279727548193481779e-01,1.249904741270533026e-01,8.200565835035540652e-02,4.785408652177339933e-02,1.658372249316908964e-01,3.218166441256423149e-01,5.282203104771129865e-02,9.188563663857476360e-01
3.515483469359929891e-02,3.375825638255949834e-01,9.950289168698070452e-02,7.672027018917899899e-02,7.196221870572190593e-02,9.965668385945980479e-02,3.151208975617427743e-01,6.399985552196230110e-02,9.703719588260861784e-01
8.119546713244030212e-02,1.949067837823426075e-01,9.836588547111410619e-02,8.001837857443010182e-02,8.528204248074690297e-02,1.216939839206037932e-01,3.525242812375373180e-01,4.346002987247239713e-02,1.003708997897649224e+00
6.948704060107449565e-02,3.408784940541725872e-01,1.189892727279552032e-01,1.498882387626332968e-01,3.512689958384729999e-02,1.675526408273206869e-01,3.733895387026425761e-01,5.275383233414550344e-02,9.604265200666963764e-01
1.063008344486302964e-01,2.580085143517901747e-01,1.283093806539399029e-01,8.274857346673289427e-02,3.422816362237039722e-02,1.584591718191888932e-01,3.595927545672250036e-01,4.742949340229359739e-02,1.037998801182836939e+00
5.364113967693699692e-02,2.631402609608928800e-01,7.134075934103710492e-02,8.084985497366399543e-02,6.045121223422909862e-02,9.668001358624569996e-02,2.941440708554399763e-01,4.750744409369420107e-02,8.817318837491869843e-01
3.799460951836550193e-02,3.109789811485650923e-01,1.006905889808148019e-01,8.391918300034920120e-02,3.840248063352080105e-02,1.857640632467573993e-01,4.138750514624705001e-01,5.941488747981119728e-02,1.154883794672830977e+00
1.184355782622869002e-01,3.100584103299380834e-01,2.049002543360254058e-01,1.947921101958078882e-01,5.702079383154529807e-02,1.145142269102236016e-01,4.645630973588920076e-01,6.465076808445649470e-02,8.122222421868077191e-01
7.510883761671499625e-02,2.040924778447127941e-01,1.229271645780316974e-01,3.510398275197629953e-02,6.181024692660169739e-02,1.024639013695135964e-01,2.927278650132856819e-01,4.708367494901959799e-02,9.383857915325382049e-01
6.565160036664240140e-02,2.604169040837718829e-01,9.138189911770909502e-02,7.224134958568939613e-02,5.165547006201359759e-02,7.920494570643189791e-02,2.930196887552528051e-01,9.402205644140199797e-03,9.503074546525531741e-01
