LC,MV,EN,SE,DBC,DBF,DOS,CN,GCN
2.034727778040283097e-01,6.561926510704919890e-02,4.454169508355204088e-01,2.417745309000216003e-01,5.833397780894022944e-01,2.006288809245297955e-01,1.284907339443079055e-01,6.432327533850684675e-01,1.895485391823039864e-02
5.294154055180058105e-01,1.044843902464360069e-01,3.521256110626799218e-01,1.629181301220493094e-01,4.938115647375321271e-01,2.928536388805565993e-01,2.582637854994584981e-01,4.539065736367026149e-01,2.578466691298789831e-02
5.021798517917023252e-01,5.864391109565530308e-02,3.508721449060069886e-01,1.791047832623106906e-01,4.498463369731046102e-01,1.828557039191349987e-01,1.738386567333004007e-01,4.141933831010596867e-01,6.963958296173199808e-03
4.875896454294255111e-01,9.852928926100709695e-02,4.729543246567726733e-01,2.320598833255118898e-01,3.841419053776359838e-01,2.426281214455590918e-01,2.928781944918623092e-01,5.399979031670844032e-01,4.697984542758980309e-02
3.197677155847361008e-01,5.797485445905130319e-02,3.383722223374976967e-01,1.928422158099099004e-01,4.722929845510590030e-01,1.197505162532838952e-01,2.129080827110927943e-01,4.904058830661984780e-01,1.443073258983650076e-02
3.839889065138821223e-01,9.507681847647089790e-02,3.692362250313442895e-01,2.170424747941407106e-01,4.983766741501735043e-01,2.219132901992900975e-01,2.133764498216524919e-01,5.848862867208608485e-01,2.843651995984240038e-02
2.023147932691402029e-01,1.298512293495200920e-01,4.007412187901169820e-01,2.400216077667985948e-01,5.835713473026779008e-01,1.907896364051707983e-01,2.010370085390572881e-01,7.298453266951254736e-01,3.532513767616039801e-02
3.634125238071795883e-01,7.909482028863890068e-02,2.982380042727478808e-01,2.028858667028966001e-01,4.913456243348038877e-01,1.614472041442998884e-01,2.033959482087706050e-01,4.716835348390314153e-01,3.437556766196189773e-02
4.966786782414256973e-01,8.259490780681509603e-02,3.974491183387915960e-01,1.711523265346361067e-01,4.817267512049970835e-01,2.522779878344100224e-01,2.983477379048807276e-01,5.198506904733968259e-01,2.496874240365469858e-02
3.010459008707715989e-01,5.983813332169959920e-02,3.268142620038451129e-01,2.157951875020205079e-01,5.200251574355767570e-01,1.705137277054832035e-01,2.092528273874310063e-01,5.282421139649768893e-01,3.820395617760140305e-02
4.561157573603963900e-01,6.752640137522859798e-02,3.987947296250536899e-01,2.283475895392788890e-01,4.599764919091858251e-01,1.934776365896556938e-01,2.755467443183836074e-01,5.162438929187935788e-01,4.398218174841290323e-02
4.371405463081386999e-01,9.396730355649740574e-02,3.311800196508383753e-01,2.128919565944477066e-01,4.861196456558325996e-01,1.489512547290056943e-01,1.898695746346759916e-01,5.082021828861756907e-01,3.386853195013900253e-02
3.742007041768452003e-01,7.377402172737100583e-02,3.495141650204849904e-01,1.786429687172685910e-01,3.975728211584276806e-01,2.691904161632968084e-01,2.151959086408530009e-01,5.237669249963146090e-01,4.725570564260860029e-02
4.354223713596278023e-01,6.760858009862359685e-02,4.858319308675497217e-01,2.015129669656025024e-01,5.482633676491690533e-01,2.964267765617663031e-01,1.085688090217972052e-01,6.657162485048615519e-01,3.925191122669240140e-02
5.415930411384087817e-01,6.538022428387760265e-02,3.132463748197498732e-01,1.535147494314763883e-01,3.820428666068331203e-01,1.935265363822445961e-01,2.419111908841116987e-01,4.282324413404315910e-01,3.130651081897269788e-02
4.776932998560313726e-01,6.240411332657570115e-02,4.924952124916560092e-01,1.805316393186912893e-01,5.015008640406134477e-01,3.191658170817021078e-01,2.455867275592316934e-01,5.552016869268567856e-01,1.637866295065809955e-02
4.398377935066103972e-01,8.361316268509040583e-02,3.791840973303167162e-01,2.183449859614843003e-01,3.577042238260828011e-01,2.311721421568292134e-01,1.806740547709952960e-01,5.730927783758684724e-01,4.230817085609350076e-02
4.311105939522110742e-01,5.205388271503019748e-02,2.873736688219226121e-01,1.715582592345983870e-01,4.317411822485001105e-01,1.307293260877908925e-01,2.306327877007113003e-01,4.884331130880164018e-01,3.148697323197480191e-02
4.623425765509455165e-01,1.296477354742295029e-01,3.885080805600221732e-01,1.851915021496068903e-01,4.240676918814055840e-01,1.459616058880275902e-01,2.409004149237432002e-01,5.266151146555784202e-01,3.980608514928850317e-02
4.188147306922644919e-01,1.269747925141941070e-01,4.001192783867670855e-01,2.145658694500970909e-01,4.530411705265443012e-01,2.602809960459641081e-01,1.766356624254193930e-01,5.634502334938097379e-01,5.415300402138650132e-02
3.482855638637716855e-01,8.470046439071790556e-02,4.366341991730681160e-01,1.839270537354802115e-01,3.904299174063011746e-01,1.651250466063484135e-01,2.130435365250445134e-01,4.770614272293465796e-01,3.369197176252260173e-02
2.864597084010708783e-01,1.103114101502447042e-01,5.924062888143544203e-01,2.818118479801769993e-01,6.231222932891010702e-01,1.829572067846280126e-01,1.844183831415837915e-01,7.089673544369248237e-01,5.010394792959180221e-02
2.632722184102079810e-01,9.762645772432129720e-02,4.698658639185511743e-01,2.043818907120190931e-01,6.273014927605282676e-01,1.973470964226435864e-01,2.270012373885388068e-01,7.524500415217935112e-01,3.803806764693060116e-02
