LC,MV,EA,SE,DBC,DBF,DOS,CN,GCN
4.477220901652440022e-02,2.560056274747150168e-02,2.584377579531490013e-02,1.464034284124517138e-01,1.909261425287092084e-01,1.254916683409872113e-01,6.144025741424880005e-02,5.520894893239355339e-01,1.586773296790600085e-02
6.254780252946630370e-02,2.801914620353099933e-02,2.821881019785340075e-02,1.990200777516059061e-01,1.964186901403706942e-01,1.185683546829000984e-01,8.047138725960699401e-02,4.761092809134505055e-01,1.664656033194869891e-02
5.952319791196999943e-02,2.592855511082220107e-02,3.414273520890660080e-02,1.554581317970732957e-01,2.034575118004068039e-01,1.275671888742015980e-01,6.837924372080760038e-02,5.248976303056946957e-01,1.263468001618919985e-02
5.492457787197219804e-02,2.515631753428619957e-02,3.000703808559719923e-02,1.691399055980946919e-01,1.909918962906876905e-01,1.039700188544395998e-01,7.842882501268989837e-02,6.120189936048296975e-01,1.080615295010440083e-02
4.607647508681510240e-02,2.857287964779249914e-02,3.630663204814880279e-02,1.586358341381161885e-01,1.652012404290459924e-01,1.055697846415211971e-01,4.545232737218719843e-02,6.041442925573534684e-01,2.013833381528620098e-02
6.345497088567260413e-02,2.302464815888900090e-02,2.953215206231539838e-02,1.658424451152248902e-01,1.712004751644166933e-01,1.105520431007779025e-01,9.110121315805110032e-02,6.549109562584709554e-01,1.461473705874700079e-03
5.661059868166989917e-02,2.691904820726739866e-02,3.385227511597219824e-02,1.727117808388211884e-01,1.600575795652454947e-01,1.253703857626884133e-01,5.353590762304580308e-02,5.315108561227493977e-01,1.284363339061509943e-02
4.907041632956409688e-02,2.606375874293189940e-02,3.253306238775979797e-02,1.501042212131291909e-01,1.984236508739090077e-01,9.572905861250269322e-02,5.771856222446399703e-02,6.146666723340216132e-01,6.685826012956699697e-03
5.911179909867229909e-02,3.808627603956130092e-02,3.956249551148469795e-02,1.884280100466217134e-01,1.793250341130316894e-01,1.194934346872271042e-01,5.445995121671570044e-02,5.027301293619310663e-01,1.187444440124750013e-02
5.361584098891949979e-02,2.645943862889019865e-02,3.197962893675020124e-02,1.429895804250504998e-01,1.805808045610804990e-01,1.115197426911010981e-01,6.211716843326749865e-02,6.456937300359197884e-01,6.181124107380899825e-03
5.902716615596619726e-02,2.295381972260790091e-02,4.313319321248350324e-02,1.560749645163878874e-01,1.909638511645498915e-01,1.122912479806962988e-01,5.391378943037299781e-02,7.002067511002706413e-01,1.746481001584740053e-02
5.542326584879229967e-02,2.621478383325959866e-02,3.055296485395080086e-02,1.633681392094220863e-01,1.451213371674635044e-01,1.071236920935193931e-01,6.906528259248530255e-02,5.115286708188866438e-01,1.525480770204100042e-02
5.219253237273940166e-02,2.338456775405459848e-02,2.837482547284020037e-02,1.423273521614479009e-01,1.640070164573934897e-01,1.078261618400005034e-01,5.637092705145590327e-02,6.041027661882839572e-01,5.959308476228400431e-03
6.128934635924639801e-02,2.989454041470299833e-02,3.077519657203929906e-02,1.434262018607481981e-01,2.198664249583150987e-01,1.260091777930504864e-01,5.308286109572359773e-02,4.206297337099977884e-01,1.408834401923949979e-02
7.592851893932700547e-02,2.126183821293229845e-02,2.348890081856029946e-02,1.797504119784195109e-01,1.795647266663369934e-01,1.230059464135390968e-01,9.839085390832540134e-02,3.571275739112174108e-01,1.282884089484660067e-02
5.547034862674540129e-02,3.876629721380969729e-02,4.014312924350520173e-02,1.565647057958794997e-01,1.736700328301508112e-01,1.117329633954436963e-01,5.776732718514550335e-02,5.912800764226663341e-01,1.815622541277530158e-02
5.397699658101170334e-02,4.120683698980490139e-02,3.664210421979439969e-02,1.586427192236410932e-01,1.741480463164216952e-01,1.039404425323273984e-01,8.849945972672429439e-02,6.400684420211886216e-01,1.438823745021289985e-02
4.860495117962689710e-02,2.941355959665380160e-02,3.079147675101980008e-02,1.389789059421148998e-01,2.019006024360485985e-01,1.279486010822848963e-01,7.616078180798069308e-02,5.079544675439220391e-01,1.104414568672409946e-02
5.589492858898020139e-02,2.686052204148769995e-02,2.919864416351659886e-02,1.454820147098165040e-01,1.831432096001933130e-01,1.295254678425092898e-01,6.319738507611419309e-02,5.854182642385883373e-01,1.120595871904229990e-02
