DBC,Adsorption Energy,DBC,Adsorption Energy,DBC,Adsorption Energy
,eV,,eV,,eV
,Monometallic TMs,Cu alloys,,Pt alloys,
-4.003607572,5.608978745,-2.190629255,4.134827194,-2.346302569,2.495111516
-3.239430288,4.7414235,-2.109825709,4.393660381,-2.184600858,2.623943949
-1.580641239,2.106999494,-2.481359542,3.628236398,-1.893255884,3.265591918
-0.74851742,0.977673185,-1.814154322,2.416516332,-2.266320878,2.583624025
-2.42418392,4.110073135,-1.250464537,1.851158471,-1.62229792,1.867945174
-1.048158336,0.950402208,-2.42418392,4.110073135,-1.97961599,2.582668906
-2.40414893,1.88966081,-1.797225467,2.438740686,-1.875618423,2.688282001
-0.843328101,1.839902482,-2.014959633,0.587037715,-2.391664768,1.661174983
-1.045416019,1.083346689,-1.998101141,1.76341999,-2.204461665,1.678740204
-0.860363708,0.728154183,-2.865830774,1.93691161,-2.815604598,2.733575349
-1.905268707,1.677095004,-2.008940564,2.508364413,-1.484942968,4.211434587
-1.647185269,2.504732645,-1.415222421,1.896682708,-1.783227538,1.759121679
-2.15484575,2.222465831,-1.446760164,2.130566865,-1.602744728,2.119152778
-1.66973535,1.382594223,-1.505721902,2.669206141,-1.980505026,2.34829508
-1.835835436,1.926347062,-1.959205613,1.884561941,-2.114768205,1.480621193
-1.595447664,1.59930963,-1.662300184,2.796323032,-1.913915903,2.063205493
-0.363940768,1.560266056,-1.97961599,2.582668906,-2.15484575,2.222465831
0.066282957,0.439420039,-1.604742289,1.617196081,-1.990463705,1.509700638
-1.38331182,1.396295019,-1.685279462,1.987524103,-1.85834284,1.893514623
-0.600855957,1.288465013,-1.762972034,2.115206311,-1.874434062,1.704283666
-0.64983714,0.88328084,-2.010792124,1.377864069,-3.012453037,2.481784605
-1.108487937,0.561387312,-0.943609411,1.886466602,-0.980174996,1.945962932
-0.618285937,1.796520869,-1.492755701,1.885343588,-1.798050188,1.706457447
-7.316160151,4.489099412,-1.29553727,2.176645126,-2.421274164,3.135507626
-0.851634585,1.262184122,-1.293041251,2.130292847,-1.531767317,2.000818225
,,-1.569963406,1.650907584,-1.936024845,1.615414552
,,-2.968162559,1.70533974,-2.776311715,2.551482483
,,-2.712129617,4.243781575,-3.708082504,3.694731361
,,-1.890340003,0.687920655,-2.234463495,1.322552169
