DBC,Adsorption Energy,DBC,Adsorption Energy,DBC,Adsorption Energy
,eV,,eV,,eV
,Monometallic TMs,Cu alloys,,Pt alloys,
-4.003607572,1.961799686,-2.1906293,0.8444162,-2.346302569,1.267181493
-3.239430288,2.415031951,-2.5991196,1.36588,-2.184613883,1.678456389
-8.882171164,0.904440412,-2.4813595,0.515539,-6.223600834,1.4217012
-1.580641239,-0.253032128,-1.8141792,-0.0977949,-1.919339321,0.425774074
-0.74863813,-2.500851622,-1.2504645,-1.6464891,-1.62229792,-1.173692702
-2.42418392,0.815140814,-2.4241839,0.8151408,-1.970541776,1.170693735
-1.04826476,-3.730901957,-1.7972255,-0.4461558,-1.875618423,0.231125875
-2.404406275,0.750792558,-0.2189079,-3.187126,-0.701824371,-2.864514624
-0.84353835,-3.004750532,-5.2124397,1.4830958,-4.852777802,2.002607237
-1.045806248,-2.116413272,-1.9980956,0.2971933,-2.204464488,0.725065691
-0.860075297,-2.982999248,-0.6232142,-2.5279074,-1.025411942,-2.123916947
-1.905268707,-0.129969325,-1.6819977,0.1759205,-1.484942968,1.94565177
-1.64724671,1.359148895,-1.4152224,-1.4169023,-1.783227538,-1.234992602
-2.15484575,1.417018665,-2.8782977,-1.8438698,-1.602730552,-1.705604234
-1.66973535,-1.20893607,-1.5057219,0.2353646,-1.629000443,0.634917914
-1.835801099,0.595410113,-1.9592056,-0.2299705,-2.114763002,0.140297541
-1.595447664,-0.376089897,-1.6875113,1.1334608,-1.913901403,1.272994797
-0.363940768,-3.751788326,-1.9705418,1.1706937,-2.15484575,1.417018665
0.066282957,-3.260459443,-1.604713,-1.0072751,-1.990463705,-0.650947187
-1.38331182,-1.287207166,-1.6852806,0.3830545,-1.85833638,0.720528056
-0.600817269,-3.455084921,-1.7629849,-0.0995033,-1.874432401,0.214804895
-0.64983714,-3.230985841,-1.4733391,-2.6882234,-1.464360081,-1.926026512
-1.107980157,-2.198106472,-2.9733293,-2.2387796,-0.980224874,-1.946600359
-0.618285937,-3.648769292,-1.4927534,-0.7163989,-1.798050188,-0.452070339
-7.316174307,0.078724574,-1.2955373,-2.50973,-1.531847072,-1.624789554
-0.852017203,-3.425847785,-1.2930413,-1.872182,-1.936024845,-1.399855221
,,-0.8091662,-1.6323608,-0.226290166,-1.907761551
,,-0.0651686,-2.5825405,-5.22836427,1.023988185
,,-5.644271,0.6409697,-0.630333031,-2.558963845
,,-0.1922942,-2.8959548,,
