Valence Electrons,Adsorption Energy (eV)
11,6.984898424
11,5.667144574
11,5.608978745
11,5.627318945
11,5.41603289
11,4.979302288
11,4.950667341
11,5.5093195
11.66666667,5.596425589
11.66666667,5.497811942
9,2.382733535
10.33333333,3.734145826
10.33333333,3.700240033
7.666666667,2.507316638
11,7.020413906
11,4.134827194
11,5.193137914
11,5.078700303
8,2.467728565
10,3.543872401
10,3.546400474
8.666666667,3.821319126
8.666666667,3.696152203
6.333333333,2.068734574
6.333333333,2.212417347
11.66666667,5.556749351
9,1.744027253
10.33333333,3.398978585
10.33333333,3.12616242
3,5.766888718
5.666666667,2.805203603
7,1.917778197
7,3.62682576
9.333333333,3.189311198
9.333333333,2.919558491
7.666666667,1.836787187
7.666666667,1.929447935
9.333333333,2.91946298
9,3.395911317
9,3.373781115
7,2.097416461
7,2.128556624
10,2.543948195
10.66666667,4.164549237
10.66666667,4.149397938
8,3.875474542
8,2.434752313
10,3.930431878
11,7.029893944
10,3.440907517
10.66666667,4.602759457
10.66666667,4.541566089
10.33333333,3.373778258
11,7.272798539
10,2.499578673
10.66666667,4.062552534
10.33333333,2.495111516
10.33333333,2.498024631
10.66666667,4.070313629
7,1.434722255
8.333333333,1.517061182
9.666666667,2.865587569
9,1.907733523
10.33333333,3.538365089
10.33333333,3.440840986
8,3.344863305
8,2.11848365
9,2.117695881
10,3.348749499
5.666666667,2.723424823
7,1.677475011
9,3.430066502
9,3.440241247
7,1.793768166
7,1.763020254
7,1.942400146
8.333333333,1.95520283
9.666666667,2.964223665
8.666666667,3.727911697
8.666666667,3.489275072
6.333333333,2.041283185
6.333333333,2.212329591
5,2.044353718
9,3.338592714
7,1.993154955
9,3.242404962
9.333333333,3.113981108
9.333333333,2.9551669
7.666666667,1.599692766
7.666666667,1.563092911
11,5.783039763
3,6.011974578
3,2.860196858
5.666666667,3.006130829
7,1.843642143
12,3.950400135
11.5,5.081134361
8.666666667,3.787972936
8.666666667,3.650004009
6.333333333,2.175398028
6.333333333,2.335432939
11,6.525164134
11,4.896599954
11,4.7414235
11,4.577755189
11.66666667,5.336980418
9,4.107061106
9,2.670142893
10.33333333,3.692672275
10.33333333,3.721917574
