Sublimation Energy,reaction energy (eV)
266.3,6.984898424
266.3,5.667144574
266.3,5.608978745
291.7,5.627318945
291.7,5.41603289
317.1,4.979302288
317.1,4.950667341
266.3,5.5093195
159.6333333,5.596425589
159.6333333,5.497811942
391.2,2.382733535
307.9333333,3.734145826
307.9333333,3.700240033
328.4333333,2.507316638
266.3,7.020413906
313.1,4.134827194
281.9,5.193137914
281.9,5.078700303
360.8,2.467728565
297.8,3.543872401
297.8,3.546400474
396.0333333,3.821319126
396.0333333,3.696152203
525.7666667,2.068734574
525.7666667,2.212417347
129.76,5.556749351
586,1.744027253
372.8666667,3.398978585
372.8666667,3.12616242
406.2,5.766888718
359.5666667,2.805203603
336.25,1.917778197
233.2,3.62682576
389.5333333,3.189311198
389.5333333,2.919558491
512.7666667,1.836787187
512.7666667,1.929447935
389.5333333,2.91946298
416.4666667,3.395911317
416.4666667,3.373781115
566.6333333,2.097416461
566.6333333,2.128556624
395.2,2.543948195
309.2666667,4.164549237
309.2666667,4.149397938
661,3.875474542
661,2.434752313
397.8666667,3.930431878
266.3,7.029893944
396.7,3.440907517
309.7666667,4.602759457
309.7666667,4.541566089
353.2333333,3.373778258
266.3,7.272798539
510,2.499578673
347.5333333,4.062552534
428.7666667,2.495111516
428.7666667,2.498024631
347.5333333,4.070313629
738,1.434722255
580.7666667,1.517061182
423.5333333,2.865587569
516.7,1.907733523
349.7666667,3.538365089
349.7666667,3.440840986
605.7,3.344863305
605.7,2.11848365
492.5666667,2.117695881
379.4333333,3.348749499
311.4333333,2.723424823
300.15,1.677475011
434.5333333,3.430066502
434.5333333,3.440241247
602.7666667,1.793768166
602.7666667,1.763020254
573,1.942400146
470.7666667,1.95520283
368.5333333,2.964223665
325.4333333,3.727911697
325.4333333,3.489275072
384.5666667,2.041283185
384.5666667,2.212329591
475.8,2.044353718
336.1333333,3.338592714
405.9666667,1.993154955
336.1333333,3.242404962
455.8666667,3.113981108
455.8666667,2.9551669
645.4333333,1.599692766
645.4333333,1.563092911
